category,id,rule,code,motsam,title,updated,heading,dimensions,colours,files,local
General advisory,656,A42-2,AP22,IG-7,Passing Bay Ahead 50 m (50 m),24 November 2016,Passing Bay Ahead 50 m,a 975 b 825 c 75 d 100 e 25 f 10 r 60 Legend 150C `m` Transport medium NZ `x` height 100mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga05-01-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga05-01-01-nolabels.gif,Original EPS/General advisory/ga05-01-01.eps | Original EPS/General advisory/ga05-01-01-nolabels.gif
General advisory,657,A42-2,AP22,IG-7,Passing Bay Ahead 100 m (100 m),24 November 2016,Passing Bay Ahead 100 m,a 975 b 825 c 75 d 100 e 25 f 10 r 60 Legend 150C `m` Transport medium NZ `x` height 100mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga05-01-02.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga05-01-02-nolabels.gif,Original EPS/General advisory/ga05-01-02.eps | Original EPS/General advisory/ga05-01-02-nolabels.gif
General advisory,658,A42-2,AP22,IG-7,Passing Bay Ahead 150 m (150 m),24 November 2016,Passing Bay Ahead 150 m,a 975 b 825 c 75 d 100 e 25 f 10 r 60 Legend 150C `m` Transport medium NZ `x` height 100mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga05-01-03.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga05-01-03-nolabels.gif,Original EPS/General advisory/ga05-01-03.eps | Original EPS/General advisory/ga05-01-03-nolabels.gif
General advisory,659,A42-2,AP22,IG-7,Passing Bay Ahead 200 m (200 m),24 November 2016,Passing Bay Ahead 200 m,a 975 b 825 c 75 d 100 e 25 f 10 r 60 Legend 150C `m` Transport medium NZ `x` height 100mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga05-01-04.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga05-01-04-nolabels.gif,Original EPS/General advisory/ga05-01-04.eps | Original EPS/General advisory/ga05-01-04-nolabels.gif
General advisory,660,A42-3,AP33,IG-8,"Slow vehicle bays, next 2 km (Next 2 km)",24 November 2016,"Slow vehicle bays, next 2 km",Legend 120D r 70 f 10 e 25 d 75 c 60 b 1100 a 900 `km` Transport medium NZ `x` height 85 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-01-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-01-01-nolabels.gif,Original EPS/General advisory/ga06-01-01.eps | Original EPS/General advisory/ga06-01-01-nolabels.gif
General advisory,661,A42-3,AP33,IG-8,"Slow vehicle bays, next 5 km (Next 5 km)",24 November 2016,"Slow vehicle bays, next 5 km",Legend 120D r 70 f 10 e 25 d 75 c 60 b 1100 a 900 `km` Transport medium NZ `x` height 85 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-01-02.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-01-02-nolabels.gif,Original EPS/General advisory/ga06-01-02.eps | Original EPS/General advisory/ga06-01-02-nolabels.gif
General advisory,662,A42-3,AP33,IG-8,"Slow vehicle bays, next 10 km (Next 10 km)",24 November 2016,"Slow vehicle bays, next 10 km",Legend 120D r 70 f 10 e 25 d 75 c 60 b 1100 a 900 `km` Transport medium NZ `x` height 85 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-01-03.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-01-03-nolabels.gif,Original EPS/General advisory/ga06-01-03.eps | Original EPS/General advisory/ga06-01-03-nolabels.gif
General advisory,663,A42-4,AP32,IG-9,"Slow vehicle bay ahead, 300m (300 m)",24 November 2016,"Slow vehicle bay ahead, 300m",Legend 120D r 60 f 10 e 25 d 75 c 70 b 900 a 900 `m` Transport medium NZ `x` height 85 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-02-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-02-01-nolabels.gif,Original EPS/General advisory/ga06-02-01.eps | Original EPS/General advisory/ga06-02-01-nolabels.gif
General advisory,664,A42-4,AP31,IG-9,"Slow vehicle bay ahead, 1km (1 km)",24 November 2016,"Slow vehicle bay ahead, 1km",Legend 120D r 60 f 10 e 25 d 75 c 70 b 900 a 900 `km` Transport medium NZ `x` height 85 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-02-02.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-02-02-nolabels.gif,Original EPS/General advisory/ga06-02-02.eps | Original EPS/General advisory/ga06-02-02-nolabels.gif
General advisory,665,A42-4,AP31,IG-9,"Slow vehicle bay ahead, 2 km (2 km)",24 November 2016,"Slow vehicle bay ahead, 2 km",Legend 120D r 60 f 10 e 25 d 75 c 70 b 900 a 900 `km` Transport medium NZ `x` height 85 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-02-03.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-02-03-nolabels.gif,Original EPS/General advisory/ga06-02-03.eps | Original EPS/General advisory/ga06-02-03-nolabels.gif
General advisory,666,A42-5,AP34,IG-10,Slow vehicle bay indicator (Bay),24 November 2016,Slow vehicle bay indicator,2nd line 120D 1st and 3rd lines 120E r 70 g 10 f 25 e 100 d 70 c 318 b 1100 a 900 Arrow Type C,"Background reflectorised white Legend, arrow and border black",https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-03-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga06-03-01-nolabels.gif,Original EPS/General advisory/ga06-03-01.eps | Original EPS/General advisory/ga06-03-01-nolabels.gif
General advisory,667,A45-3,AE1R,IG-18,"Stock effluent disposal ahead, on right 300m (On right 300 m)",28 May 2019,"Stock effluent disposal ahead, on right 300m",Legend 120E r 80 g 10 f 40 e 75 d 100 c 75 b 1200 a 1200 `m` Transport medium NZ `x` height 80 mm,Legend and border black Background reflectorised white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-01-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-01-01-nolabels.gif,Original EPS/General advisory/ga07-01-01.eps | Original EPS/General advisory/ga07-01-01-nolabels.gif
General advisory,668,A45-3,AE1L,IG-18,"Stock effluent disposal ahead, on left 300m (On left 300 m)",28 May 2019,"Stock effluent disposal ahead, on left 300m",Legend 120E r 80 g 10 f 40 e 75 d 100 c 75 b 1200 a 1200 `m` Transport medium NZ `x` height 80 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-01-02.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-01-02-nolabels.gif,Original EPS/General advisory/ga07-01-02.eps | Original EPS/General advisory/ga07-01-02-nolabels.gif
General advisory,669,A45-3,AE2R,IG-18,"Stock effluent disposal ahead, turn right 300m (Turn right 300 m)",28 May 2019,"Stock effluent disposal ahead, turn right 300m",a 1200 b 1200 c 75 d 100 e 30 f 40 g 10 r 80 1st 3 lines and `300` 120E 4th line 120D `m` Transport medium NZ `x` height 80 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-01-03.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-01-03-nolabels.gif,Original EPS/General advisory/ga07-01-03.eps | Original EPS/General advisory/ga07-01-03-nolabels.gif
General advisory,670,A45-3,AE2L,IG-18,"Stock effluent disposal ahead, turn left 300m (Turn left 300 m)",28 May 2019,"Stock effluent disposal ahead, turn left 300m",a 1200 b 1200 c 75 d 100 e 30 f 40 g 10 r 80 1st 3 lines and `300` 120E 4th line 120D `m` Transport medium NZ `x` height 80 mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-01-04.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-01-04-nolabels.gif,Original EPS/General advisory/ga07-01-04.eps | Original EPS/General advisory/ga07-01-04-nolabels.gif
General advisory,671,A45-4,AE35,IG-19,"Stock effluent disposal indicator, arrow pointing right (Arrow pointing right)",28 May 2019,"Stock effluent disposal indicator, arrow pointing right",Legend 120E r 80 h 10 g 40 f 528 e 330 d 115 c 90 b 1200 a 1200 Arrow Type C,"Legend, arrow and border black Background reflectorised white",https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-02-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-02-01-nolabels.gif,Original EPS/General advisory/ga07-02-01.eps | Original EPS/General advisory/ga07-02-01-nolabels.gif
General advisory,672,A45-4,AE34,IG-19,"Stock effluent disposal indicator, arrow veering right (Arrow veering right)",13 November 2024,"Stock effluent disposal indicator, arrow veering right",a 1200 b 1200 c 90 d 115 e 310 f 40 g 10 h 10 r 80 Legend 120E Arrow Type C,"Background reflectorised white Legend, arrow and border black",https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-02-02.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga07-02-02-nolabels.gif,Original EPS/General advisory/ga07-02-02.eps | Original EPS/General advisory/ga07-02-02-nolabels.gif
