code,name,family,file,size,notes,source
TC1544,HAIL DRIVER,Bus,HAIL_DRIVER_TC1544.svg,300x450 mm,size from the drawing's overall height dimension (450 mm); type: BUS STOP SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/tc1544.pdf
TC1544,HAIL DRIVER,Bus,HAIL_DRIVER_VAR2_TC1544.svg,492x357 mm,no size found on the sheet; drawn at 1:10 — check; type: BUS STOP SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/tc1544.pdf
TC9692,LOCAL BUS STOP,Bus,LOCAL_BUS_STOP_TC9692.svg,751x1000 mm,no size found on the sheet; drawn at 1:10 — check; type: “LOCAL BUS STOP”,Original PDFs/TC signs/TC Signs_June 2026/bus/tc9692.pdf
TC9693,LOCAL AND INTERCITY BUS STOP,Bus,LOCAL_AND_INTERCITY_BUS_STOP_TC9693.svg,751x1000 mm,no size found on the sheet; drawn at 1:10 — check; type: “LOCAL AND INTERCITY BUS STOP”,Original PDFs/TC signs/TC Signs_June 2026/bus/tc9693.pdf
TC9694,INTERCITY BUS STOP,Bus,INTERCITY_BUS_STOP_TC9694.svg,751x1000 mm,no size found on the sheet; drawn at 1:10 — check; type: “INTERCITY BUS STOP”,Original PDFs/TC signs/TC Signs_June 2026/bus/tc9694.pdf
TC1635,TRUCK MONITORING CAMERAS IN USE,Camera Monitoring,TRUCK_MONITORING_CAMERAS_IN_USE_TC1635.svg,90x90 mm,"size from the sheet's dimension table, first row (a = 90, b = 1000); other rows are size variants not produced; type: INFORMATION SIGN",Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC1635.pdf
TC1847,DRIVER BEHAVIOUR MONITORING,Camera Monitoring,DRIVER_BEHAVIOUR_MONITORING_TC1847.svg,750x749 mm,"size from the sheet's dimension table, first row (a = 750, b = 750); other rows are size variants not produced; type: INFORMATION SIGN",Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC1847.pdf
TC1848,YOUR DRIVER BEHAVIOUR MAY BE MONITORED,Camera Monitoring,YOUR_DRIVER_BEHAVIOUR_MAY_BE_MONITORED_TC1848.svg,700x999 mm,"size from the sheet's dimension table, first row (a = 700, b = 1000); other rows are size variants not produced; type: INFORMATION SIGN",Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC1848.pdf
TC1855,VEHICLE MONITORING CAMERAS IN USE,Camera Monitoring,VEHICLE_MONITORING_CAMERAS_IN_USE_TC1855.svg,1200x1598 mm,size from the drawing's overall width dimension (1200 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC1855.pdf
TC1880,24 HOUR BEHAVIOUR MONITORING,Camera Monitoring,24_HOUR_BEHAVIOUR_MONITORING_TC1880.svg,450x450 mm,"size from the sheet's dimension table, first row (a = 450, b = 450); other rows are size variants not produced; type: INFORMATION SIGN",Original PDFs/TC signs/TC Signs_June 2026/camera monitoring/TC1880.pdf
