code,title,section,family,vector_set,eps,jpg,svg
450-51,Ankündigungsbake - zweistreifig (200 m),Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,450-51.jpg,
450-52,Ankündigungsbake - dreistreifig (300 m),Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,450-52.jpg,
450-53,"Ankündigungsbake - einstreifig (100 m, gelb)",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,450-53.jpg,
450-54,"Ankündigungsbake - zweistreifig (200 m, gelb)",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,450-54.jpg,
450-55,"Ankündigungsbake - dreistreifig (300 m, gelb)",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,450-55.jpg,
453,Entfernungstafel,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,453.jpg,
453-50,"Entfernungstafel auf autobahnähnlich ausgebauten, zweibahnigen Straßen",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,453-50.jpg,
454,Umleitungswegweiser,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
454-10,Umleitungswegweiser - linksweisend,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,454-10.jpg,
454-20,Umleitungswegweiser - rechtsweisend,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
454-40,Umleitungswegweiser - doppelseitig,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
455.1,Ankündigung oder Fortsetzung der Umleitung,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,455.1.jpg,
455.1-10,Ankündigung oder Fortsetzung der Umleitung - Vorankündigung links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,455.1-10.jpg,
455.1-11,Ankündigung oder Fortsetzung der Umleitung - hier links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,455.1-11.jpg,
455.1-12,Ankündigung oder Fortsetzung der Umleitung - links einordnen,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,455.1-12.jpg,
455.1-13,Ankündigung oder Fortsetzung der Umleitung - im Kreisverkehr links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-455.1/455.1-13.eps,,ANKUENDIGUNG_ODER_FORTSETZUNG_DER_UMLEITUNG_IM_KREISVERKEHR_LINKS_455.1-13.svg
455.1-20,Ankündigung oder Fortsetzung der Umleitung - Vorankündigung rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
455.1-21,Ankündigung oder Fortsetzung der Umleitung - hier rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
455.1-22,Ankündigung oder Fortsetzung der Umleitung - rechts einordnen,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
455.1-23,Ankündigung oder Fortsetzung der Umleitung - im Kreisverkehr rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-455.1/455.1-23.eps,,ANKUENDIGUNG_ODER_FORTSETZUNG_DER_UMLEITUNG_IM_KREISVERKEHR_RECHTS_455.1-23.svg
455.1-30,Ankündigung oder Fortsetzung der Umleitung - geradeaus,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,455.1-30.jpg,
455.1-31,Ankündigung oder Fortsetzung der Umleitung - im Kreisverkehr geradeaus,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-455.1/455.1-31.eps,,ANKUENDIGUNG_ODER_FORTSETZUNG_DER_UMLEITUNG_IM_KREISVERKEHR_GERADEAUS_455.1-31.svg
455.1-50,Ankündigung oder Fortsetzung der Umleitung - ohne Pfeilsymbol,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,455.1-50.jpg,
455.2,Ende der Umleitung (in Verb. m. Z 455.1),Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,455.2.jpg,
457.1,Umleitungsankündigung,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,457.1.jpg,
457.2,Ende der Umleitung,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,457.2.jpg,
458,Planskizze,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,458.jpg,
460,Bedarfsumleitung,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,460-100.jpg,
460-10,Bedarfsumleitung - Vorankündigung links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,460-10.jpg,
460-11,Bedarfsumleitung - hier links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
460-12,Bedarfsumleitung - links einordnen,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,460-12.jpg,
460-13,Bedarfsumleitung - im Kreisverkehr links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-460/460-13.eps,,BEDARFSUMLEITUNG_IM_KREISVERKEHR_LINKS_460-13.svg
460-20,Bedarfsumleitung - Vorankündigung rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
460-21,Bedarfsumleitung - hier rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
460-22,Bedarfsumleitung - rechts einordnen,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
