category,series,node,title,code,size,summary,type,updated,files,local
Temporary Signs,Advance Warning Signs (MR-TAW),9575,201131-0009 - Roadworks ahead (with logos),MR-TAW-35,2400x1500,"Size: 2400 x 1500, Refer to Drawing MR-TAW-35",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f55b/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/201131-0009.pdf | https://www.mainroads.wa.gov.au/49f627/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-35.dwg | https://www.mainroads.wa.gov.au/4a9bff/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-35.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/201131-0009.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-35.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,201431-0011 - Modified merge layout,MR-TAW-36,1200x900,"Size: 1200 x 900, Refer to Drawing MR-TAW-36",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f542/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/201431-0011.pdf | https://www.mainroads.wa.gov.au/49f638/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-36.dwg | https://www.mainroads.wa.gov.au/4a9c1c/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-36.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/201431-0011.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-36.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,201431-0042 - Road closed authorised vehicles only drive safely,MR-TAW-37,2000x1000,"Size: 2000 x 1000, Refer to Drawing MR-TAW-37",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f551/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/201431-0042.pdf | https://www.mainroads.wa.gov.au/49f623/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-37.dwg | https://www.mainroads.wa.gov.au/4a9c14/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-37-open.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/201431-0042.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-37.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,201531-0084 - Litter collection in progress,MR-TAW-38,1200x900,"Size: 1200 x 900​, Refer to Drawing ​MR-TAW-38",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f55e/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/201531-0084.pdf | https://www.mainroads.wa.gov.au/49f635/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-38.dwg | https://www.mainroads.wa.gov.au/4a9c31/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-38.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/201531-0084.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-38.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,201831-0006 - Temporary narrow hazard sign,MR-TAW-39,250x1200,"Size: 250 x 1200​​, Refer to Drawing ​​MR-TAW-39",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f56a/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/201831-0006.pdf | https://www.mainroads.wa.gov.au/49f639/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-39.dwg | https://www.mainroads.wa.gov.au/4a9c38/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-39.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/201831-0006.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-39.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,202031-0020 - New 50,MR-TAW-40,900x1200,"Size: 900 x 1200​​​, Refer to Drawing ​​MR-TAW-40",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f553/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/202031-0020.pdf | https://www.mainroads.wa.gov.au/49f64d/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-40.dwg | https://www.mainroads.wa.gov.au/4a9c53/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-40.png,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/202031-0020.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-40.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,202031-0093 - Raised safety platform,MR-TAW-41,600x630,"Size: 600 x 630 and 750 x 800, refer to MR-TAW-41",PDF,17 November 2020,https://www.mainroads.wa.gov.au/49f560/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/202031-0093.pdf | https://www.mainroads.wa.gov.au/49f660/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-41.dwg | https://www.mainroads.wa.gov.au/4a990f/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-41.png,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/202031-0093.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-41.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,8720-0107 - Modified intersection ahead,MR-TAW-7,1600x750,"Size: 1600 x 750, Refer to Drawing MR-TAW-7",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f56c/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/8720-0107.pdf | https://www.mainroads.wa.gov.au/49f659/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-7.dwg | https://www.mainroads.wa.gov.au/4a9c6f/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-7.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/8720-0107.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-7.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,8720-0729 - Bridgework ahead wide vehicle,MR-TAW-14,2200x1200,"Size: 2200 x 1200, Refer to Drawing MR-TAW-14",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f581/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/8720-0729.pdf | https://www.mainroads.wa.gov.au/49f5ca/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-14.dwg | https://www.mainroads.wa.gov.au/4a9b55/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-14.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/8720-0729.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-14.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,8920-0756 - Road closed ahead,MR-TAW-5,1200x900,"Size: 1200 x 900, Refer to Drawing MR-TAW-5",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f56a/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/8920-0756.pdf | https://www.mainroads.wa.gov.au/49f670/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-5.dwg | https://www.mainroads.wa.gov.au/4a9c41/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-5.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/8920-0756.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-5.dwg
