category,series,node,title,code,size,summary,type,updated,files,local
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201031-0164 - Bush fire​,MMS-ADV-65,,"Size: ​​​600 x 600​, Refer to Drawing MMS-ADV-65",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49ef7d/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201031-0164.pdf | https://www.mainroads.wa.gov.au/49ed82/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-65.dwg | https://www.mainroads.wa.gov.au/4a324b/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-65.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201031-0164.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-65.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201031-0166 - ​Bushfire symbolic,MMS-ADV-61,,"Size: ​​​600 x 600​, Refer to Drawing MMS-ADV-61​",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49ef8e/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201031-0166.pdf | https://www.mainroads.wa.gov.au/49ed55/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-61.dwg | https://www.mainroads.wa.gov.au/4a324b/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-61.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201031-0166.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-61.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201031-0167 - ​Road flooded,MMS-ADV-66,,"Size: ​​​600 x 600​, Refer to Drawing MMS-ADV-66",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efa2/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201031-0167.pdf | https://www.mainroads.wa.gov.au/49ed94/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-66.dwg | https://www.mainroads.wa.gov.au/4a324b/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-66.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201031-0167.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-66.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201031-0168 - Water over road symbolic,MMS-ADV-62,,"Size: ​​​600 x 600​, Refer to Drawing MMS-ADV-62",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49ef90/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201031-0168.pdf | https://www.mainroads.wa.gov.au/49ed6b/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-62.dwg | https://www.mainroads.wa.gov.au/4a324b/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-62.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201031-0168.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-62.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201031-0169 - Hazardous material​,MMS-ADV-68,,"Size: ​​​600 x 600​, Refer to Drawing MMS-ADV-68",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efa3/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201031-0169.pdf | https://www.mainroads.wa.gov.au/49ed93/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-68.dwg | https://www.mainroads.wa.gov.au/4a324b/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-68.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201031-0169.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-68.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201031-0170 - ​Hazardous material symbolic,MMS-ADV-64,,"Size: ​​​600 x 600​, Refer to Drawing MMS-ADV-64​",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efb6/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201031-0170.pdf | https://www.mainroads.wa.gov.au/49ed70/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-64.dwg | https://www.mainroads.wa.gov.au/4a324b/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-64.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201031-0170.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-64.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201231-0045 - Uhf channel xx,MMS-ADV-53,1200x300,"Size: 1200 x 300, Refer to Drawing MMS-ADV-53",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efc9/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201231-0045.pdf | https://www.mainroads.wa.gov.au/49ed3e/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-53.dwg | https://www.mainroads.wa.gov.au/4a324a/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-53.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201231-0045.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-53.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201231-0046 - Uhf channel xx,MMS-ADV-54,600x600,"Size: 600 x 600, Refer to Drawing MMS-ADV-54",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efb5/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201231-0046.pdf | https://www.mainroads.wa.gov.au/49ed2a/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-54.dwg | https://www.mainroads.wa.gov.au/4a324a/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-54.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201231-0046.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-54.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201531-0015 - Detour ahead,MMS-ADV-56,1200x300,"Size: 1200 x 300​, Refer to Drawing MMS-ADV-56​",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efcb/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201531-0015.pdf | https://www.mainroads.wa.gov.au/49ed3d/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-56.dwg | https://www.mainroads.wa.gov.au/4a324a/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-56.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201531-0015.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-56.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201531-0016 - Verge works,MMS-ADV-57,,"Size: ​600 x 600​, Refer to Drawing MMS-ADV-57",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efdd/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201531-0016.pdf | https://www.mainroads.wa.gov.au/49ed4d/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-57.dwg | https://www.mainroads.wa.gov.au/4a324a/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-57.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201531-0016.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-57.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201531-0018 - Bridge works​,MMS-ADV-59,,"Size: ​​1200 x 300​, Refer to Drawing MMS-ADV-59",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efc8/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201531-0018.pdf | https://www.mainroads.wa.gov.au/49ed3d/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-59.dwg | https://www.mainroads.wa.gov.au/4a324a/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-59.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201531-0018.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-59.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201531-0090 - ​​On ramp,MMS-ADV-60,,"Size: ​​1200 x 300​, Refer to Drawing MMS-ADV-60",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efdb/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201531-0090.pdf | https://www.mainroads.wa.gov.au/49ed67/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-60.dwg | https://www.mainroads.wa.gov.au/4a324a/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-60.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201531-0090.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-60.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201631-0028 - Smoke hazard​,MMS-ADV-77,,"Size: ​​600 x 600​​​, Refer to Drawing MMS-ADV-77",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efeb/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201631-0028.pdf | https://www.mainroads.wa.gov.au/49edc7/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-77.dwg | https://www.mainroads.wa.gov.au/4a324c/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-77.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201631-0028.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-77.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201631-0029 - Smoke hazard​​,MMS-ADV-78,,"Size: ​​​1200 x 300​​​, Refer to Drawing MMS-ADV-78",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efdb/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201631-0029.pdf | https://www.mainroads.wa.gov.au/49edda/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-78.dwg | https://www.mainroads.wa.gov.au/4a324d/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-78.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201631-0029.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-78.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201631-0030 - Burning off​,MMS-ADV-73,,"Size: ​​​​​600 x 600​​, Refer to Drawing MMS-ADV-73",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efed/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201631-0030.pdf | https://www.mainroads.wa.gov.au/49edc8/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-73.dwg | https://www.mainroads.wa.gov.au/4a324c/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-73.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201631-0030.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-73.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201631-0031 - Burning off​,MMS-ADV-74,,"Size: ​​​​​1200 x 300​​​, Refer to Drawing MMS-ADV-74",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49efff/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201631-0031.pdf | https://www.mainroads.wa.gov.au/49edb5/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-74.dwg | https://www.mainroads.wa.gov.au/4a324c/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-74.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201631-0031.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-74.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201631-0032 - Headlights on,MMS-ADV-75,,"Size: ​600 x 600​​​, Refer to Drawing MMS-ADV-75",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f010/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201631-0032.pdf | https://www.mainroads.wa.gov.au/49edc6/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-75.dwg | https://www.mainroads.wa.gov.au/4a324c/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-75.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201631-0032.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-75.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201631-0033 - Bush fire​,MMS-ADV-76,,"Size: ​1200 x 300​​​, Refer to Drawing MMS-ADV-76",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f000/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201631-0033.pdf | https://www.mainroads.wa.gov.au/49edd8/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-76.dwg | https://www.mainroads.wa.gov.au/4a324c/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-76.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201631-0033.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-76.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201631-0077 - Portaboom​,MMS-ADV-79,,"Size: ​​​​600 x 600​​​, Refer to Drawing MMS-ADV-79",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f015/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201631-0077.pdf | https://www.mainroads.wa.gov.au/49edeb/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-79.dwg | https://www.mainroads.wa.gov.au/4a324d/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-79.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201631-0077.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-79.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201831-0003 - Rumble strips​,MMS-ADV-80,,"Size: ​​​​600 x 600​​​, Refer to Drawing MMS-ADV-80",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f004/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201831-0003.pdf | https://www.mainroads.wa.gov.au/49ede5/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-80.dwg | https://www.mainroads.wa.gov.au/4a324d/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-80.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201831-0003.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-80.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201831-0004 - Rumble strips​,MMS-ADV-81,,"Size: ​​​​600 x 600​​​, Refer to Drawing MMS-ADV-81",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f016/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201831-0004.pdf | https://www.mainroads.wa.gov.au/49edf8/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-81.dwg | https://www.mainroads.wa.gov.au/4a324d/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-81.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201831-0004.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-81.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201831-0005 - Stop here when directed,MMS-ADV-82,,"Size: ​​​​1200 x 600​​​​, Refer to Drawing MMS-ADV-82",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f028/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201831-0005.pdf | https://www.mainroads.wa.gov.au/49ee0b/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-82.dwg | https://www.mainroads.wa.gov.au/4a324d/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-82.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201831-0005.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-82.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201831-0029 - Monitoring camera​,MMS-ADV-83,,"Size: ​​​​600 x 600​​​​​, Refer to Drawing MMS-ADV-83",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f03a/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201831-0029.pdf | https://www.mainroads.wa.gov.au/49edfe/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-83.dwg | https://www.mainroads.wa.gov.au/4a324d/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-83.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201831-0029.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-83.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,201931-0035 - Workers under bridge,MMS-ADV-84,,"Size: ​​​​600 x 600​​​​​, Refer to Drawing MMS-ADV-84​",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f02b/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/201931-0035.pdf | https://www.mainroads.wa.gov.au/49ee10/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-84.dwg | https://www.mainroads.wa.gov.au/4a324d/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-84.gif,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/201931-0035.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-84.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202031-0031 - Ramp closed ahead,MMS-ADV-85,1200x600,"Size: 1200 x 600, Refer to MMS-ADV-85",PDF,18 August 2020,https://www.mainroads.wa.gov.au/49f03f/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202031-0031.pdf | https://www.mainroads.wa.gov.au/49ee21/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-85.dwg | https://www.mainroads.wa.gov.au/4a39c4/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-85-ramp-closed-ahead.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202031-0031.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-85.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202031-0032 - Ramp closed (large),MMS-ADV-86,1200x600,"Size: 1200 x 600, Refer to MMS-ADV-86",PDF,18 August 2020,https://www.mainroads.wa.gov.au/49f052/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202031-0032.pdf | https://www.mainroads.wa.gov.au/49ee3e/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-86.dwg | https://www.mainroads.wa.gov.au/4a39ff/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-86-ramp-closed-large.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202031-0032.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-86.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202031-0033 - Ramp closed (small),MMS-ADV-87,600x600,"Size: 600 x 600, Refer to MMS-ADV-87",PDF,18 August 2020,https://www.mainroads.wa.gov.au/49f042/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202031-0033.pdf | https://www.mainroads.wa.gov.au/49ee2d/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-87.dwg | https://www.mainroads.wa.gov.au/4a39ff/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-87.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202031-0033.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-87.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202031-0084 - Cyclists in lane,MMS-ADV-88,600x600,"Size: 600 x 600, Refer to MMS-ADV-88",PDF,17 November 2020,https://www.mainroads.wa.gov.au/49f059/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202031-0084.pdf | https://www.mainroads.wa.gov.au/49ee41/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-88.dwg | https://www.mainroads.wa.gov.au/4ac6d6/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-88.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202031-0084.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-88.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202031-0085 - Cyclists in lane,MMS-ADV-89,950x600,"Size: 950 x 600, Refer to MMS-ADV-89",PDF,17 November 2020,https://www.mainroads.wa.gov.au/49f06a/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202031-0085.pdf | https://www.mainroads.wa.gov.au/49ee39/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-89.dwg | https://www.mainroads.wa.gov.au/4ac77c/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-89.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202031-0085.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-89.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202131-0009 - Queued Traffic Ahead,MMS-ADV-90,600x600,"Size: 600 x 600, Refer to sign MMS-ADV-90",PDF,23 April 2021,https://www.mainroads.wa.gov.au/49f05d/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202131-0009.pdf | https://www.mainroads.wa.gov.au/49ee60/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-90.dwg | https://www.mainroads.wa.gov.au/498562/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-90.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202131-0009.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-90.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202131-0010 - Queued Traffic (Symbolic),MMS-ADV-91,600x600,"Size: 600 x 600, Refer to sign MMS-ADV-91",PDF,23 April 2021,https://www.mainroads.wa.gov.au/49f070/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202131-0010.pdf | https://www.mainroads.wa.gov.au/49ee4f/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-91.dwg | https://www.mainroads.wa.gov.au/4985bd/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-91.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202131-0010.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-91.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202131-0011 - Cyclist (Symbolic),MMS-ADV-92,600x600,"Size: 600 x 600, Refer to sign MMS-ADV-92",PDF,23 April 2021,https://www.mainroads.wa.gov.au/49f05f/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202131-0011.pdf | https://www.mainroads.wa.gov.au/49ee7e/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-92.dwg | https://www.mainroads.wa.gov.au/49860f/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-92.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202131-0011.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-92.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202131-0012 - Bicycle Lane Closed Ahead,MMS-ADV-93,600x600,"Size: 600 x 600, Refer to sign MMS-ADV-93",PDF,23 April 2021,https://www.mainroads.wa.gov.au/49f072/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202131-0012.pdf | https://www.mainroads.wa.gov.au/49ef98/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-93.dwg | https://www.mainroads.wa.gov.au/4986c0/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-93.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202131-0012.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-93.dwg
Multi Message Signs,Advance Warning Series (MMS-ADV),10256,202131-0017 - Slow Bus Ahead,MMS-ADV-94,1200x300,"Size: 1200 x 300, Refer to Sign MMS-ADV-94",PDF,24 May 2021,https://www.mainroads.wa.gov.au/49f084/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/202131-0017.pdf | https://www.mainroads.wa.gov.au/49efa9/globalassets/technical-commercial/technical-library/signs-index/multi-message-signs/advance-warning-series-mms-adv/mms-adv-94.dwg | https://www.mainroads.wa.gov.au/49b769/globalassets/images/sign-thumbnails/multi-message/advance-warning/mms-adv-94.png,Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/202131-0017.pdf | Original PDFs/Multi Message Signs/Advance Warning Series MMS-ADV/mms-adv-94.dwg
