sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
T6-4,School Bus (Vehicle mounted sign),T6-4 - School Bus (Vehicle mounted sign),Yes,Yes - available.,NA,AS 1742.2 (Devices),,For details please refer to AS 1743.,School Bus (Vehicle mounted sign) sign design plan Published 15 Jun 2023 PDF 173.53 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-4.gif?itok=QkoUL2SG,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-4.pdf,Original PDFs/t6-4.pdf,t6-4-school-bus-vehicle-mounted-sign
T6-228n,Road Surface Test Keep Clear,T6-228n - Road Surface Test Keep Clear,No,Yes - available.,NA,-,,Vehicle Mounted Use Only,Road Surface Test Keep Clear sign design plan Published 15 Jun 2023 PDF 203.88 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-228n.gif?itok=YNxABnqK,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-228n.pdf,Original PDFs/t6-228n.pdf,t6-228n-road-surface-test-keep-clear
T6-207n,Weed Spraying,T6-207n - Weed Spraying,No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Weed Spraying sign design plan Published 15 Jun 2023 PDF 182.57 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-207n.gif?itok=QWpD72a3,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-207n.pdf,Original PDFs/t6-207n.pdf,t6-207n-weed-spraying
T6-233n,Snow Clearing,T6-233n - Snow Clearing,No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Snow Clearing sign design plan Published 15 Jun 2023 PDF 185.99 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-233n.gif?itok=2aaDqEPt,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-233n.pdf,Original PDFs/t6-233n.pdf,t6-233n-snow-clearing
R7-234n,Transit Lane (T3 - repeater) (times as required),R7-234n Transit Lane (T3 - repeater) (times as required),No,Yes – available .,ARR 156,"AS 1742.12 (Bus, Transit and Truck Lanes)",Delineation Manual - Section 9,Only approved times and days to be used.,Transit Lane (T3 - repeater) (times as required) sign design plan Published 15 Jun 2023 PDF 27.92 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-234n.gif?itok=FXuichbv,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-234n.pdf,Original PDFs/r7-234n.pdf,r7-234n-transit-lane-t3-repeater-times-as-required
R7-224n,Transit Lane (T2 - repeater) (Times as required),R7-224n Transit Lane (T2 - repeater) (Times as required),No,Yes – available .,ARR 156,"AS 1742.12 (Bus, Transit and Truck Lanes)",Delineation Manual - Section 9,Only approved times and days to be used,Transit Lane (T2 - repeater) (Times as required) - r7-224n sign design plan Published 15 Jun 2023 PDF 27.81 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-224n.gif?itok=662XcCFU,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-224n.pdf,Original PDFs/r7-224n.pdf,r7-224n-transit-lane-t2-repeater-times-as-required
T6-1n(L),Line Marking (left chevrons),T6-1n(L) - Line Marking (left chevrons),No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Line Marking (left chevrons) sign design plan Published 15 Jun 2023 PDF 204.89 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-1n_l.gif?itok=obg5bxwn,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-1n_l.pdf,Original PDFs/t6-1n_l.pdf,t6-1nl-line-marking-left-chevrons
T6-1n(R),Line Marking (Right Chevron),T6-1n(R) - Line Marking (Right Chevron),No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Line Marking (Right Chevron) sign design plan Published 15 Jun 2023 PDF 206.25 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-1n_r.gif?itok=fZw7CnsU,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-1n_r.pdf,Original PDFs/t6-1n_r.pdf,t6-1nr-line-marking-right-chevron
R7-1-6-1n,Truck And Bus Only Lane (Symbolic),R7-1-6-1n Truck And Bus Only Lane (Symbolic),No,Yes – available .,NA,-,,'B' Symbol & ONLY patch :- Red Background,Truck And Bus Only Lane (Symbolic) sign design plan Published 15 Jun 2023 PDF 334.69 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-6-1n.gif?itok=31670HrU,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-6-1n.pdf,Original PDFs/r7-1-6-1n.pdf,r7-1-6-1n-truck-and-bus-only-lane-symbolic
R7-1-1-4n,Bus Lane (AM or PM) (Overhead),R7-1-1-4n - Bus Lane (AM or PM) (Overhead),No,Yes – available .,NSW Road Rules 154,"AS 1742.12 (Bus, Transit and Truck Lanes)",,Modify time(s) and day(s) of operation as required,Bus Lane (Am or Pm) (Overhead) sign design plan Published 15 Jun 2023 PDF 204.93 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-1-4n.gif?itok=JdWTGsSj,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-1-4n.pdf,Original PDFs/r7-1-1-4n.pdf,r7-1-1-4n-bus-lane-am-or-pm-overhead
R7-233n,Transit Lane (T3) (24hrs),R7-233n Transit Lane (T3) (24hrs),No,Yes – available .,ARR 156,"AS 1742.12 (Bus, Transit and Truck Lanes)",Delineation Manual (TfNSW) - Section 9,-,Transit Lane (T3) (24hrs) sign design plan Published 15 Jun 2023 PDF 23.57 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-233n.gif?itok=_I6ALt9c,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-233n.pdf,Original PDFs/r7-233n.pdf,r7-233n-transit-lane-t3-24hrs
R7-230n,Transit Lane T3 Ahead,R7-230n Transit Lane T3 Ahead,No,Yes – available .,NA,"AS 1742.12 (Bus, Transit and Truck Lanes)",Delineation Manual (TfNSW) - Section 9,-,Transit Lane T3 Ahead sign design plan Published 15 Jun 2023 PDF 22.16 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-230n.gif?itok=rhf4N12S,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-230n.pdf,Original PDFs/r7-230n.pdf,r7-230n-transit-lane-t3-ahead
T6-201n,Grass Cutting,T6-201n - Grass Cutting,No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Grass Cutting sign design plan Published 15 Jun 2023 PDF 182.74 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-201n.gif?itok=LSyWX4z7,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-201n.pdf,Original PDFs/t6-201n.pdf,t6-201n-grass-cutting
R7-1-1-5n,Bus Lane (AM & PM) (Overhead),R7-1-1-5n - Bus Lane (AM & PM) (Overhead),No,Yes – available .,NSW Road Rules 154,"AS 1742.12 (Bus, Transit and Truck Lanes)",,Modify time(s) and day(s) of operation as required,Bus Lane (Am & Pm) (Overhead) sign design plan Published 15 Jun 2023 PDF 207.78 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-1-5n.gif?itok=rscY7qTk,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-1-5n.pdf,Original PDFs/r7-1-1-5n.pdf,r7-1-1-5n-bus-lane-am-pm-overhead
R7-1-1-3n,Bus Lane (AM or PM) MON-FRI,R7-1-1-3n - Bus Lane (AM or PM) MON-FRI,No,Yes – available .,NSW Road Rules 154,"AS 1742.12 (Bus, Transit and Truck Lanes)",,Modify time(s) and day(s) of operation as required,Bus Lane (Am & Pm) - r7-1-1-3n sign design plan Published 15 Jun 2023 PDF 201.05 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-1-3n.gif?itok=vOmJM3sb,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-1-3n.pdf,Original PDFs/r7-1-1-3n.pdf,r7-1-1-3n-bus-lane-am-or-pm-mon-fri
R7-1-1-7n,Bus Lane (24hrs) (Overhead),R7-1-1-7n - Bus Lane (24hrs) (Overhead),No,Yes – available .,NSW Road Rules 154,"AS 1742.12 (Bus, Transit and Truck Lanes)",,-,Bus Lane (24hrs) (Overhead) sign design plan Published 15 Jun 2023 PDF 187.89 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-1-7n.gif?itok=Rkn26Fn4,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-1-7n.pdf,Original PDFs/r7-1-1-7n.pdf,r7-1-1-7n-bus-lane-24hrs-overhead
R7-1-1-6n,Bus Lane (24hrs),R7-1-1-6n - Bus Lane (24hrs),No,Yes – available .,NSW Road Rules 154,"AS 1742.12 (Bus, Transit and Truck Lanes)",,-,Bus Lane (24hrs) - r7-1-1-6n sign design plan Published 15 Jun 2023 PDF 182.35 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-1-6n.gif?itok=gTHLVF4o,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-1-6n.pdf,Original PDFs/r7-1-1-6n.pdf,r7-1-1-6n-bus-lane-24hrs
R7-1-4,Bicycle (symbolic) Lane,R7-1-4 - Bicycle (symbolic) Lane,Yes,Yes – available .,NSW Road Rules 153 and 252,AS 1742.9 (Bicycles) Secondary Technical References NSW Bicycle Guidelines,,-,Bicycle (symbolic) Lane sign design plan Published 15 Jun 2023 PDF 237.07 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-4.gif?itok=4HJKScHv,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-4.pdf,Original PDFs/r7-1-4.pdf,r7-1-4-bicycle-symbolic-lane
R7-223n,Transit Lane T2 (24hrs),R7-223n Transit Lane T2 (24hrs),No,Yes – available .,ARR 156,"AS 1742.12 (Bus, Transit and Truck Lanes)",Delineation Manual (TfNSW) Section 9,-,Transit Lane T2 (24hrs) sign design plan Published 15 Jun 2023 PDF 23.47 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-223n.gif?itok=zY0OGnHs,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-223n.pdf,Original PDFs/r7-223n.pdf,r7-223n-transit-lane-t2-24hrs
R7-220n,Transit Lane T2 Ahead,R7-220n Transit Lane T2 Ahead,No,Yes – available .,NA,"AS 1742.12 (Bus, Transit and Truck Lanes)",Delineation Manual Section 9 (TfNSW),-,Transit Lane T2 Ahead sign design plan Published 15 Jun 2023 PDF 22.14 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-220n.gif?itok=ZKzHWk7j,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-220n.pdf,Original PDFs/r7-220n.pdf,r7-220n-transit-lane-t2-ahead
