code,name,family,file,edition,drawn_size,notes
R3-14c,PREFERENTIAL LANE OPERATION (OVERHEAD),Regulatory Signs,PREFERENTIAL_LANE_OPERATION_OVERHEAD_R3-14c.svg,2024 Edition,90.0x60.0 in,"size 90 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-15,HOV LANE AHEAD (OVERHEAD),Regulatory Signs,HOV_LANE_AHEAD_OVERHEAD_R3-15.svg,2024 Edition,66.0x36.0 in,size 66 in: conventional-road row for R3-15 in the 2004/2012 sheets (2024 table has no marker)
R3-15a,HOV LANE BEGINS XX MILES (OVERHEAD),Regulatory Signs,HOV_LANE_BEGINS_XX_MILES_OVERHEAD_R3-15a.svg,2024 Edition,78.0x48.0 in,"size 78 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-15b,HOV LANE ENDS (OVERHEAD),Regulatory Signs,HOV_LANE_ENDS_OVERHEAD_R3-15b.svg,2024 Edition,66.0x36.0 in,"size 66 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-15c,HOV LANE ENDS (OVERHEAD),Regulatory Signs,HOV_LANE_ENDS_OVERHEAD_R3-15c.svg,2024 Edition,66.0x36.0 in,"size 66 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-15d,PREFERENTIAL LANE AHEAD OR ENDS (OVERHEAD),Regulatory Signs,PREFERENTIAL_LANE_AHEAD_OR_ENDS_OVERHEAD_R3-15d.svg,2024 Edition,42.0x36.0 in,"size 42 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-15e,PREFERENTIAL LANE AHEAD OR ENDS (OVERHEAD),Regulatory Signs,PREFERENTIAL_LANE_AHEAD_OR_ENDS_OVERHEAD_R3-15e.svg,2024 Edition,42.0x36.0 in,"size 42 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-17,BIKE LANE,Regulatory Signs,BIKE_LANE_R3-17.svg,2024 Edition,24.0x18.0 in,
R3-17a,BIKE LANE AHEAD,Regulatory Signs,BIKE_LANE_AHEAD_R3-17a.svg,2004 Edition,31.2x12.0 in,scale from the drawing's overall height dimension (12.0 in)
R3-17aP,AHEAD (PLAQUE),Regulatory Signs,AHEAD_PLAQUE_R3-17aP.svg,2024 Edition,24.0x9.0 in,
R3-17b,BIKE LANE ENDS,Regulatory Signs,BIKE_LANE_ENDS_R3-17b.svg,2004 Edition,31.2x12.0 in,no dimension of its own; drawn to the same size as R3-17a on the sheet — check
R3-17bP,ENDS (PLAQUE),Regulatory Signs,ENDS_PLAQUE_R3-17bP.svg,2024 Edition,24.0x9.0 in,
R3-18,MOVEMENT PROHIBITION - NO U OR LEFT TURN,Regulatory Signs,MOVEMENT_PROHIBITION_NO_U_OR_LEFT_TURN_R3-18.svg,2024 Edition,24.0x24.0 in,size 24 in: conventional-road row for R3-18 in the 2004/2012 sheets (2024 table has no marker)
R3-19,LANE FOR LEFT TURN ONLY,Regulatory Signs,LANE_FOR_LEFT_TURN_ONLY_R3-19.svg,2024 Edition,30.0x24.0 in,
R3-19a,LANE FOR U TURN ONLY,Regulatory Signs,LANE_FOR_U_TURN_ONLY_R3-19a.svg,2024 Edition,30.0x24.0 in,
R3-19b,LANE FOR U AND LEFT TURNS ONLY,Regulatory Signs,LANE_FOR_U_AND_LEFT_TURNS_ONLY_R3-19b.svg,2024 Edition,30.0x30.0 in,
R3-1a,NO RIGHT TURN ACROSS TRACKS (ACTIVATED BLANK-OUT),Regulatory Signs,NO_RIGHT_TURN_ACROSS_TRACKS_ACTIVATED_BLANK_OUT_R3-1a.svg,2024 Edition,24.0x30.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-1b,"MOVEMENT PROHIBITION, VEHICLE CLASS - 1 LINE",Regulatory Signs,MOVEMENT_PROHIBITION_VEHICLE_CLASS_1_LINE_R3-1b.svg,2024 Edition,24.0x36.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-1c,"MOVEMENT PROHIBITION, VEHICLE CLASS – 2 LINES",Regulatory Signs,MOVEMENT_PROHIBITION_VEHICLE_CLASS_2_LINES_R3-1c.svg,2024 Edition,24.0x42.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-1d,"MOVEMENT PROHIBITION, VEHICLE CLASS –˜3 LINES",Regulatory Signs,MOVEMENT_PROHIBITION_VEHICLE_CLASS_3_LINES_R3-1d.svg,2024 Edition,24.0x47.9 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-1e,"MOVEMENT PROHIBITION, VEHICLE EXCEPTION - 1 LINE",Regulatory Signs,MOVEMENT_PROHIBITION_VEHICLE_EXCEPTION_1_LINE_R3-1e.svg,2024 Edition,24.0x36.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-1f,"MOVEMENT PROHIBITION, VEHICLE EXCEPTION - 2 LINES",Regulatory Signs,MOVEMENT_PROHIBITION_VEHICLE_EXCEPTION_2_LINES_R3-1f.svg,2024 Edition,24.0x42.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-1g,"MOVEMENT PROHIBITION, PART-TIME - 2 LINE",Regulatory Signs,MOVEMENT_PROHIBITION_PART_TIME_2_LINE_R3-1g.svg,2024 Edition,24.0x36.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-1h,"MOVEMENT PROHIBITION, PART-TIME - 3 LINE",Regulatory Signs,MOVEMENT_PROHIBITION_PART_TIME_3_LINE_2_R3-1h.svg,2024 Edition,24.0x42.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 68 but a different drawing; suffixed"
R3-2,MOVEMENT PROHIBITION - NO LEFT TURN,Regulatory Signs,MOVEMENT_PROHIBITION_NO_LEFT_TURN_R3-2.svg,2024 Edition,24.0x24.0 in,size 24 in: conventional-road row for R3-2 in the 2004/2012 sheets (2024 table has no marker)
R3-20L,BEGIN LEFT TURN LANE,Regulatory Signs,BEGIN_LEFT_TURN_LANE_R3-20L.svg,2024 Edition,24.0x36.0 in,
R3-20R,BEGIN RIGHT TURN LANE,Regulatory Signs,BEGIN_RIGHT_TURN_LANE_R3-20R.svg,2024 Edition,24.0x36.0 in,
R3-23,ALL TURNS FROM RIGHT LANE,Regulatory Signs,ALL_TURNS_FROM_RIGHT_LANE_R3-23.svg,2024 Edition,60.0x36.0 in,
R3-23a,U TURN FROM RIGHT LANE,Regulatory Signs,U_TURN_FROM_RIGHT_LANE_R3-23a.svg,2024 Edition,60.0x36.0 in,
R3-24,ALL TURNS DIRECTIONAL (OBLIQUE),Regulatory Signs,ALL_TURNS_DIRECTIONAL_OBLIQUE_R3-24.svg,2024 Edition,72.0x18.1 in,
R3-24a,U AND LEFT TURNS DIRECTIONAL (OBLIQUE),Regulatory Signs,U_AND_LEFT_TURNS_DIRECTIONAL_OBLIQUE_R3-24a.svg,2024 Edition,60.0x24.0 in,
R3-24b,U TURN DIRECTIONAL (OBLIQUE),Regulatory Signs,U_TURN_DIRECTIONAL_OBLIQUE_R3-24b.svg,2024 Edition,72.0x18.1 in,
R3-25,ALL TURNS DIRECTIONAL,Regulatory Signs,ALL_TURNS_DIRECTIONAL_R3-25.svg,2024 Edition,72.0x18.1 in,
R3-25a,U AND LEFT TURNS DIRECTIONAL,Regulatory Signs,U_AND_LEFT_TURNS_DIRECTIONAL_R3-25a.svg,2024 Edition,60.0x24.0 in,
R3-25b,U TURN DIRECTIONAL,Regulatory Signs,U_TURN_DIRECTIONAL_R3-25b.svg,2024 Edition,72.0x18.1 in,
R3-26,U AND LEFT TURNS DIRECTIONAL (THROUGH),Regulatory Signs,U_AND_LEFT_TURNS_DIRECTIONAL_THROUGH_R3-26.svg,2024 Edition,60.0x24.0 in,
R3-26a,U TURN DIRECTIONAL (THROUGH),Regulatory Signs,U_TURN_DIRECTIONAL_THROUGH_R3-26a.svg,2024 Edition,72.0x18.1 in,
R3-27,MOVEMENT PROHIBITION - NO STRAIGHT THROUGH,Regulatory Signs,MOVEMENT_PROHIBITION_NO_STRAIGHT_THROUGH_R3-27.svg,2024 Edition,24.0x24.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-28,TOLL RATE,Regulatory Signs,TOLL_RATE_R3-28.svg,2024 Edition,114.0x48.1 in,
R3-29P,PAY TOLL (PLAQUE),Regulatory Signs,PAY_TOLL_PLAQUE_R3-29P.svg,2024 Edition,24.0x18.0 in,
R3-2a,NO LEFT TURN ACROSS TRACKS (ACTIVATED BLANK-OUT),Regulatory Signs,NO_LEFT_TURN_ACROSS_TRACKS_ACTIVATED_BLANK_OUT_R3-2a.svg,2024 Edition,24.0x30.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-3,MOVEMENT PROHIBITION - NO TURNS,Regulatory Signs,MOVEMENT_PROHIBITION_NO_TURNS_R3-3.svg,2024 Edition,24.0x24.0 in,size 24 in: conventional-road row for R3-3 in the 2004/2012 sheets (2024 table has no marker)
R3-30P,TAKE TICKET (PLAQUE),Regulatory Signs,TAKE_TICKET_PLAQUE_R3-30P.svg,2024 Edition,24.0x18.0 in,
R3-31,ETC ACCOUNT-ONLY,Regulatory Signs,ETC_ACCOUNT_ONLY_R3-31.svg,2024 Edition,24.0x24.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-32P,NO CASH (PLAQUE),Regulatory Signs,NO_CASH_PLAQUE_R3-32P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-33,RIGHT LANE MUST EXIT,Regulatory Signs,RIGHT_LANE_MUST_EXIT_R3-33.svg,2012 Supplement,78.0x36.0 in,scale from the drawing's overall width dimension (78.0 in)
R3-33L,LEFT LANE MUST EXIT,Regulatory Signs,LEFT_LANE_MUST_EXIT_R3-33L.svg,2024 Edition,78.0x36.0 in,
R3-33R,RIGHT LANE MUST EXIT,Regulatory Signs,RIGHT_LANE_MUST_EXIT_R3-33R.svg,2024 Edition,78.0x36.0 in,
R3-33aL,LEFT LANE MUST EXIT,Regulatory Signs,LEFT_LANE_MUST_EXIT_R3-33aL.svg,2024 Edition,42.0x60.0 in,
R3-33aR,RIGHT LANE MUST EXIT,Regulatory Signs,RIGHT_LANE_MUST_EXIT_R3-33aR.svg,2024 Edition,42.0x60.0 in,
R3-4,MOVEMENT PROHIBITION - NO U TURN,Regulatory Signs,MOVEMENT_PROHIBITION_NO_U_TURN_R3-4.svg,2024 Edition,24.0x24.0 in,size 24 in: conventional-road row for R3-4 in the 2004/2012 sheets (2024 table has no marker)
R3-40,PRICED MANAGED LANE VEHICLE OCCUPANCY DEFINITION (POST-MOUNTED),Regulatory Signs,PRICED_MANAGED_LANE_VEHICLE_OCCUPANCY_DEFINITION_POST_MOUNTED_R3-40.svg,2024 Edition,54.0x66.0 in,"size 54 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-42,PRICED MANAGED LANE ENDS (POST-MOUNTED),Regulatory Signs,PRICED_MANAGED_LANE_ENDS_POST_MOUNTED_R3-42.svg,2024 Edition,48.0x60.0 in,"size 48 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-42a,PRICED MANAGED LANE ENDS ADVANCE (POST-MOUNTED),Regulatory Signs,PRICED_MANAGED_LANE_ENDS_ADVANCE_POST_MOUNTED_R3-42a.svg,2024 Edition,48.0x66.0 in,"size 48 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-42b,PRICED MANAGED LANE RESTRICTION ENDS (POST-MOUNTED),Regulatory Signs,PRICED_MANAGED_LANE_RESTRICTION_ENDS_POST_MOUNTED_R3-42b.svg,2024 Edition,48.0x60.0 in,"size 48 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-42c,PRICED MANAGED LANE RESTRICTION ENDS ADVANCE (POST-MOUNTED),Regulatory Signs,PRICED_MANAGED_LANE_RESTRICTION_ENDS_ADVANCE_POST_MOUNTED_R3-42c.svg,2024 Edition,48.0x66.0 in,"size 48 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-43,PRICED MANAGED LANE VEHICLE OCCUPANCY DEFINITION,Regulatory Signs,PRICED_MANAGED_LANE_VEHICLE_OCCUPANCY_DEFINITION_R3-43.svg,2024 Edition,138.0x66.1 in,
R3-44,PRICED MANAGED LANE OPERATION (OVERHEAD),Regulatory Signs,PRICED_MANAGED_LANE_OPERATION_OVERHEAD_R3-44.svg,2024 Edition,90.0x84.0 in,
R3-44a,PRICED MANAGED LANE OPERATION (OVERHEAD),Regulatory Signs,PRICED_MANAGED_LANE_OPERATION_OVERHEAD_R3-44a.svg,2024 Edition,132.0x84.1 in,
R3-44b,PRICED MANAGED LANE OPERATION (OVERHEAD),Regulatory Signs,PRICED_MANAGED_LANE_OPERATION_OVERHEAD_R3-44b.svg,2024 Edition,90.0x72.0 in,
R3-45,PRICED MANAGED LANE ENDS (OVERHEAD),Regulatory Signs,PRICED_MANAGED_LANE_ENDS_OVERHEAD_R3-45.svg,2024 Edition,90.0x66.0 in,
R3-45a,PRICED MANAGED LANE RESTRICTION ENDS (OVERHEAD),Regulatory Signs,PRICED_MANAGED_LANE_RESTRICTION_ENDS_OVERHEAD_R3-45a.svg,2024 Edition,114.0x66.1 in,
R3-48,PRICED MANAGED LANE TOLL RATE,Regulatory Signs,PRICED_MANAGED_LANE_TOLL_RATE_R3-48.svg,2024 Edition,43.2x30.4 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
R3-48a,PRICED MANAGED LANE TOLL RATE,Regulatory Signs,PRICED_MANAGED_LANE_TOLL_RATE_R3-48a.svg,2024 Edition,43.2x38.6 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
R3-51,PART-TIME TRAVEL ON SHOULDER OPERATION,Regulatory Signs,PART_TIME_TRAVEL_ON_SHOULDER_OPERATION_R3-51.svg,2024 Edition,66.0x78.0 in,
R3-51aP,NO TRUCKS (PLAQUE),Regulatory Signs,NO_TRUCKS_PLAQUE_R3-51aP.svg,2024 Edition,66.0x12.1 in,
R3-51bP,NO TRUCKS OR BUSES (PLAQUE),Regulatory Signs,NO_TRUCKS_OR_BUSES_PLAQUE_R3-51bP.svg,2024 Edition,66.0x24.0 in,
R3-51cP,EMERGENCY STOPPING ONLY OTHER TIMES (PLAQUE),Regulatory Signs,EMERGENCY_STOPPING_ONLY_OTHER_TIMES_PLAQUE_R3-51cP.svg,2024 Edition,54.0x42.0 in,
R3-51d,PART-TIME TRAVEL ON SHOULDER VARIABLE OPERATION,Regulatory Signs,PART_TIME_TRAVEL_ON_SHOULDER_VARIABLE_OPERATION_R3-51d.svg,2024 Edition,66.0x84.0 in,
R3-51e,PART-TIME TRAVEL ON SHOULDER ON GREEN ARROW,Regulatory Signs,PART_TIME_TRAVEL_ON_SHOULDER_ON_GREEN_ARROW_R3-51e.svg,2024 Edition,66.0x84.0 in,
R3-52,PART-TIME TRAVEL ON SHOULDER ENDS,Regulatory Signs,PART_TIME_TRAVEL_ON_SHOULDER_ENDS_R3-52.svg,2024 Edition,66.0x72.0 in,
R3-52a,PART-TIME TRAVEL ON SHOULDER ENDS ADVANCE,Regulatory Signs,PART_TIME_TRAVEL_ON_SHOULDER_ENDS_ADVANCE_R3-52a.svg,2024 Edition,66.0x72.0 in,
R3-52b,SHOULDER MUST EXIT ADVANCE,Regulatory Signs,SHOULDER_MUST_EXIT_ADVANCE_R3-52b.svg,2024 Edition,66.0x72.0 in,
R3-52c,PART-TIME TRAVEL ON SHOULDER BEGINS ADVANCE,Regulatory Signs,PART_TIME_TRAVEL_ON_SHOULDER_BEGINS_ADVANCE_R3-52c.svg,2024 Edition,66.0x72.0 in,
R3-56L,BEGIN EXIT LANE,Regulatory Signs,BEGIN_EXIT_LANE_R3-56L.svg,2024 Edition,48.0x71.8 in,
R3-56R,BEGIN EXIT LANE,Regulatory Signs,BEGIN_EXIT_LANE_R3-56R.svg,2024 Edition,48.0x72.0 in,
R3-57P,TO TRAFFIC ON SHOULDER (PLAQUE),Regulatory Signs,TO_TRAFFIC_ON_SHOULDER_PLAQUE_R3-57P.svg,2024 Edition,36.0x18.0 in,
R3-5L,MANDATORY MOVEMENT LANE CONTROL - TURN ONLY,Regulatory Signs,MANDATORY_MOVEMENT_LANE_CONTROL_TURN_ONLY_R3-5L.svg,2024 Edition,30.0x36.0 in,
R3-5R,MANDATORY MOVEMENT LANE CONTROL - TURN ONLY,Regulatory Signs,MANDATORY_MOVEMENT_LANE_CONTROL_TURN_ONLY_R3-5R.svg,2024 Edition,30.0x36.0 in,
R3-5a,MANDATORY MOVEMENT LANE CONTROL - THROUGH ONLY,Regulatory Signs,MANDATORY_MOVEMENT_LANE_CONTROL_THROUGH_ONLY_R3-5a.svg,2024 Edition,30.0x36.0 in,
R3-5b,LANE CONTROL PLAQUES,Regulatory Signs,LANE_CONTROL_PLAQUES_R3-5b.svg,2004 Edition,30.0x11.4 in,no dimension of its own; drawn to the same size as R3-5e on the sheet — check
R3-5bP,LEFT LANE (PLAQUE),Regulatory Signs,LEFT_LANE_PLAQUE_R3-5bP.svg,2024 Edition,30.0x12.0 in,
R3-5c,LANE CONTROL PLAQUES,Regulatory Signs,LANE_CONTROL_PLAQUES_R3-5c.svg,2004 Edition,24.0x11.5 in,scale from the drawing's overall width dimension (24.0 in)
R3-5cP,HOV 2+ (PLAQUE),Regulatory Signs,HOV_2_PLAQUE_R3-5cP.svg,2024 Edition,24.0x12.0 in,
R3-5d,LANE CONTROL PLAQUES,Regulatory Signs,LANE_CONTROL_PLAQUES_R3-5d.svg,2004 Edition,30.0x11.4 in,no dimension of its own; drawn to the same size as R3-5e on the sheet — check
R3-5dP,TAXI LANE (PLAQUE),Regulatory Signs,TAXI_LANE_PLAQUE_R3-5dP.svg,2024 Edition,30.0x12.0 in,
R3-5e,LANE CONTROL PLAQUES,Regulatory Signs,LANE_CONTROL_PLAQUES_R3-5e.svg,2004 Edition,30.0x11.4 in,scale from the drawing's overall width dimension (30.0 in)
R3-5f,LANE CONTROL PLAQUES,Regulatory Signs,LANE_CONTROL_PLAQUES_R3-5f.svg,2004 Edition,30.0x11.4 in,no dimension of its own; drawn to the same size as R3-5e on the sheet — check
R3-5fP,RIGHT LANE (PLAQUE),Regulatory Signs,RIGHT_LANE_PLAQUE_R3-5fP.svg,2024 Edition,30.0x12.0 in,
R3-5g,LANE CONTROL PLAQUES,Regulatory Signs,LANE_CONTROL_PLAQUES_R3-5g.svg,2004 Edition,30.0x11.4 in,no dimension of its own; drawn to the same size as R3-5e on the sheet — check
R3-5gP,BUS LANE (PLAQUE),Regulatory Signs,BUS_LANE_PLAQUE_R3-5gP.svg,2024 Edition,30.0x12.0 in,
R3-5hP,BIKE LANE (PLAQUE),Regulatory Signs,BIKE_LANE_PLAQUE_R3-5hP.svg,2024 Edition,30.0x12.0 in,
R3-6L,OPTIONAL MOVEMENT LANE CONTROL - THRU AND TURN,Regulatory Signs,OPTIONAL_MOVEMENT_LANE_CONTROL_THRU_AND_TURN_R3-6L.svg,2024 Edition,30.0x36.0 in,
R3-6R,OPTIONAL MOVEMENT LANE CONTROL - THRU AND TURN,Regulatory Signs,OPTIONAL_MOVEMENT_LANE_CONTROL_THRU_AND_TURN_R3-6R.svg,2024 Edition,30.0x36.0 in,
R3-6a,OPTIONAL MOVEMENT LANE CONTROL - U AND LEFT TURNS,Regulatory Signs,OPTIONAL_MOVEMENT_LANE_CONTROL_U_AND_LEFT_TURNS_R3-6a.svg,2024 Edition,30.0x36.0 in,
R3-6bL,OPTIONAL MOVEMENT LANE CONTROL - OBLIQUE,Regulatory Signs,OPTIONAL_MOVEMENT_LANE_CONTROL_OBLIQUE_R3-6bL.svg,2024 Edition,30.0x36.0 in,
R3-6bR,OPTIONAL MOVEMENT LANE CONTROL - OBLIQUE,Regulatory Signs,OPTIONAL_MOVEMENT_LANE_CONTROL_OBLIQUE_R3-6bR.svg,2024 Edition,30.0x36.0 in,
R3-7L,LEFT LANE MUST TURN LEFT,Regulatory Signs,LEFT_LANE_MUST_TURN_LEFT_R3-7L.svg,2024 Edition,30.0x30.0 in,size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check
R3-7R,RIGHT LANE MUST TURN RIGHT,Regulatory Signs,RIGHT_LANE_MUST_TURN_RIGHT_R3-7R.svg,2024 Edition,30.0x30.0 in,size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check
R3-7aP,EXCEPT BUSES (PLAQUE),Regulatory Signs,EXCEPT_BUSES_PLAQUE_R3-7aP.svg,2024 Edition,24.0x12.0 in,
R3-7bP,EXCEPT BICYCLES (PLAQUE),Regulatory Signs,EXCEPT_BICYCLES_PLAQUE_R3-7bP.svg,2024 Edition,24.0x12.0 in,
R3-8,"ADVANCE CIRCULAR INTERSECTION LANE CONTROL - LEFT TURN ONLY, OPTIONAL",Regulatory Signs,ADVANCE_CIRCULAR_INTERSECTION_LANE_CONTROL_LEFT_TURN_ONLY_OPTIONAL_R3-8.svg,2012 Supplement,36.0x36.0 in,scale from the drawing's overall width dimension (36.0 in)
R3-8,"ADVANCE CIRCULAR INTERSECTION LANE CONTROL - OPTIONAL, RIGHT TURN ONLY",Regulatory Signs,ADVANCE_CIRCULAR_INTERSECTION_LANE_CONTROL_OPTIONAL_RIGHT_TURN_ONLY_R3-8.svg,2012 Supplement,36.0x36.0 in,scale from the drawing's overall width dimension (36.0 in)
R3-8,"ADVANCE CIRCULAR INTERSECTION LANE CONTROL - OPTIONAL, THROUGH ONLY",Regulatory Signs,ADVANCE_CIRCULAR_INTERSECTION_LANE_CONTROL_OPTIONAL_THROUGH_ONLY_R3-8.svg,2012 Supplement,36.0x36.0 in,scale from the drawing's overall width dimension (36.0 in)
R3-8,ADVANCE CIRCULAR INTERSECTION LANE CONTROL - TWO LANES OPTIONAL,Regulatory Signs,ADVANCE_CIRCULAR_INTERSECTION_LANE_CONTROL_TWO_LANES_OPTIONAL_R3-8.svg,2012 Supplement,36.0x36.0 in,scale from the drawing's overall width dimension (36.0 in)
R3-8L,ADVANCE INTERSECTION LANE CONTROL (2 LANES),Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_2_LANES_R3-8L.svg,2024 Edition,30.0x30.0 in,size 30 in: conventional-road row for R3-8 in the 2004/2012 sheets (2024 table has no marker)
R3-8R,ADVANCE INTERSECTION LANE CONTROL (2 LANES),Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_2_LANES_R3-8R.svg,2024 Edition,30.0x30.0 in,size 30 in: conventional-road row for R3-8 in the 2004/2012 sheets (2024 table has no marker)
R3-8a,ADVANCE INTERSECTION LANE CONTROL,Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_R3-8a.svg,2004 Edition,48.0x29.4 in,size 48 in: conventional-road row for R3-8a in the 2004/2012 sheets (2024 table has no marker)
R3-8aL,ADVANCE INTERSECTION LANE CONTROL (3 LANES),Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_3_LANES_R3-8aL.svg,2024 Edition,48.0x30.1 in,size 48 in: conventional-road row for R3-8a in the 2004/2012 sheets (2024 table has no marker)
R3-8aR,ADVANCE INTERSECTION LANE CONTROL (3 LANES),Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_3_LANES_R3-8aR.svg,2024 Edition,48.0x30.0 in,size 48 in: conventional-road row for R3-8a in the 2004/2012 sheets (2024 table has no marker)
R3-8b,ADVANCE INTERSECTION LANE CONTROL (3 LANES),Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_3_LANES_R3-8b.svg,2024 Edition,48.0x30.0 in,size 48 in: conventional-road row for R3-8b in the 2004/2012 sheets (2024 table has no marker)
R3-8xa,ADVANCE INTERSECTION LANE CONTROL WITH BIKE LANE,Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_WITH_BIKE_LANE_R3-8xa.svg,2024 Edition,54.0x36.0 in,
R3-8xb,ADVANCE INTERSECTION LANE CONTROL WITH BIKE LANE,Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_WITH_BIKE_LANE_R3-8xb.svg,2024 Edition,54.0x36.0 in,
R3-8xc,ADVANCE INTERSECTION LANE CONTROL WITH BIKE LANE,Regulatory Signs,ADVANCE_INTERSECTION_LANE_CONTROL_WITH_BIKE_LANE_R3-8xc.svg,2024 Edition,66.0x36.0 in,
R3-8zd,ADVANCE CIRCULAR INTERSECTION LANE CONTROL (2 LANES),Regulatory Signs,ADVANCE_CIRCULAR_INTERSECTION_LANE_CONTROL_2_LANES_R3-8zd.svg,2024 Edition,36.0x36.0 in,
R3-8ze,ADVANCE CIRCULAR INTERSECTION LANE CONTROL (2 LANES),Regulatory Signs,ADVANCE_CIRCULAR_INTERSECTION_LANE_CONTROL_2_LANES_R3-8ze.svg,2024 Edition,36.0x36.0 in,
R3-8zf,ADVANCE CIRCULAR INTERSECTION LANE CONTROL (2 LANES),Regulatory Signs,ADVANCE_CIRCULAR_INTERSECTION_LANE_CONTROL_2_LANES_R3-8zf.svg,2024 Edition,36.0x36.0 in,
R3-8zg,ADVANCE CIRCULAR INTERSECTION LANE CONTROL (2 LANES),Regulatory Signs,ADVANCE_CIRCULAR_INTERSECTION_LANE_CONTROL_2_LANES_R3-8zg.svg,2024 Edition,36.0x36.0 in,
R3-9a,TWO-WAY LEFT TURN ONLY (OVERHEAD),Regulatory Signs,TWO_WAY_LEFT_TURN_ONLY_OVERHEAD_R3-9a.svg,2024 Edition,30.0x36.0 in,
R3-9b,TWO-WAY LEFT TURN ONLY (POST-MOUNTED),Regulatory Signs,TWO_WAY_LEFT_TURN_ONLY_POST_MOUNTED_R3-9b.svg,2024 Edition,24.0x36.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-9cP,BEGIN (PLAQUE),Regulatory Signs,BEGIN_PLAQUE_R3-9cP.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-9d,REVERSIBLE LANE CONTROL,Regulatory Signs,REVERSIBLE_LANE_CONTROL_R3-9d.svg,2004 Edition,17.3x7.6 in,scale from the drawing's overall width dimension (17.333 in)
R3-9dP,END (PLAQUE),Regulatory Signs,END_PLAQUE_R3-9dP.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-9e,REVERSIBLE LANE CONTROL (OVERHEAD),Regulatory Signs,REVERSIBLE_LANE_CONTROL_OVERHEAD_R3-9e.svg,2024 Edition,108.0x48.1 in,
R3-9f,REVERSIBLE LANE CONTROL (POST-MOUNTED),Regulatory Signs,REVERSIBLE_LANE_CONTROL_POST_MOUNTED_R3-9f.svg,2024 Edition,30.0x42.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
R3-9g,ADVANCE REVERSIBLE LANE CONTROL TRANSITION,Regulatory Signs,ADVANCE_REVERSIBLE_LANE_CONTROL_TRANSITION_2_R3-9g.svg,2024 Edition,43.2x14.5 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in); same code and name as page 106 but a different drawing; suffixed
R3-9h,ADVANCE REVERSIBLE LANE CONTROL TRANSITION,Regulatory Signs,ADVANCE_REVERSIBLE_LANE_CONTROL_TRANSITION_R3-9h.svg,2024 Edition,43.2x14.5 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
R3-9i,END REVERSE LANE,Regulatory Signs,END_REVERSE_LANE_R3-9i.svg,2024 Edition,108.0x48.1 in,
