code,name,family,file,edition,drawn_size,notes
D11-20aR,"BICYCLE RIGHT TURN BOX (WITH ARROW, OBLIQUE)",Guide Signs,BICYCLE_RIGHT_TURN_BOX_WITH_ARROW_OBLIQUE_D11-20aR.svg,2024 Edition,12.0x18.0 in,
D11-3,SKATERS GUIDE,Guide Signs,SKATERS_GUIDE_D11-3.svg,2012 Supplement,18.0x18.0 in,scale from the drawing's overall width dimension (18.0 in)
D11-4,EQUESTRIANS GUIDE,Guide Signs,EQUESTRIANS_GUIDE_D11-4.svg,2012 Supplement,18.0x18.0 in,scale from the drawing's overall width dimension (18.0 in)
D12-1,RADIO-WEATHER INFORMATION,Guide Signs,RADIO_WEATHER_INFORMATION_D12-1.svg,2024 Edition,84.0x48.0 in,size 84 in: conventional-road row for D12-1 in the 2004/2012 sheets (2024 table has no marker)
D12-1a,RADIO-TRAFFIC INFORMATION,Guide Signs,RADIO_TRAFFIC_INFORMATION_D12-1a.svg,2024 Edition,96.0x48.1 in,"size 96 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D12-1bP,URGENT MESSAGE WHEN FLASHING (PLAQUE),Guide Signs,URGENT_MESSAGE_WHEN_FLASHING_PLAQUE_D12-1bP.svg,2024 Edition,84.0x30.1 in,"size 84 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D12-2,CARPOOL INFORMATION,Guide Signs,CARPOOL_INFORMATION_D12-2.svg,2024 Edition,60.0x42.0 in,size 60 in: conventional-road row for D12-2 in the 2004/2012 sheets (2024 table has no marker)
D12-3,CHANNEL 9 MONITORED,Guide Signs,CHANNEL_9_MONITORED_D12-3.svg,2024 Edition,84.0x48.0 in,size 84 in: conventional-road row for D12-3 in the 2004/2012 sheets (2024 table has no marker)
D12-4,EMERGENCY CALL 911,Guide Signs,EMERGENCY_CALL_911_D12-4.svg,2024 Edition,66.0x30.0 in,"size 66 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D12-5,TRAVEL INFO CALL 511 (PICTOGRAPH),Guide Signs,TRAVEL_INFO_CALL_511_PICTOGRAPH_D12-5.svg,2024 Edition,48.0x60.0 in,"size 48 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D12-5a,TRAVEL INFO CALL 511,Guide Signs,TRAVEL_INFO_CALL_511_D12-5a.svg,2024 Edition,48.0x36.0 in,"size 48 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D12-6,ROADSIDE ASSISTANCE,Guide Signs,ROADSIDE_ASSISTANCE_D12-6.svg,2024 Edition,60.0x42.0 in,"size 60 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D13-1,CROSSOVER (DIRECTIONAL),Guide Signs,CROSSOVER_DIRECTIONAL_D13-1.svg,2024 Edition,60.0x30.0 in,size 60 in: conventional-road row for D13-1 in the 2004/2012 sheets (2024 table has no marker)
D13-2,ADVANCE CROSSOVER,Guide Signs,ADVANCE_CROSSOVER_D13-2.svg,2024 Edition,60.0x30.0 in,size 60 in: conventional-road row for D13-2 in the 2004/2012 sheets (2024 table has no marker)
D13-3,EXPRESSWAY ENTRANCE,Guide Signs,EXPRESSWAY_ENTRANCE_D13-3.svg,2024 Edition,60.0x30.0 in,
D13-3,FREEWAY ENTRANCE,Guide Signs,FREEWAY_ENTRANCE_D13-3.svg,2024 Edition,48.0x30.0 in,
D13-3,PARKWAY ENTRANCE,Guide Signs,PARKWAY_ENTRANCE_D13-3.svg,2024 Edition,48.0x30.0 in,
D13-3a,FREEWAY ENTRANCE (DIRECTIONAL),Guide Signs,FREEWAY_ENTRANCE_DIRECTIONAL_3_D13-3a.svg,2024 Edition,48.0x42.0 in,same code and name as page 177 but a different drawing; suffixed
D13-3aL,FREEWAY ENTRANCE,Guide Signs,FREEWAY_ENTRANCE_D13-3aL.svg,2004 Edition,8.8x7.6 in,scaled from the dimensioned D13-3aR drawing (thumbnail)
D13-3aR,FREEWAY ENTRANCE,Guide Signs,FREEWAY_ENTRANCE_D13-3aR.svg,2004 Edition,8.8x7.6 in,scale from the drawing's overall width dimension (8.765 in)
D15-1,COMBINATION LANE USE / DESTINATION,Guide Signs,COMBINATION_LANE_USE_DESTINATION_2_D15-1.svg,2024 Edition,24.3x43.2 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in); same code and name as page 180 but a different drawing; suffixed
D17-1,NEXT TRUCK LANE,Guide Signs,NEXT_TRUCK_LANE_D17-1.svg,2024 Edition,42.0x48.0 in,"size 42 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D17-2,ADVANCE TRUCK LANE,Guide Signs,ADVANCE_TRUCK_LANE_D17-2.svg,2024 Edition,42.0x42.0 in,"size 42 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D17-3,NEXT PASSING LANE,Guide Signs,NEXT_PASSING_LANE_D17-3.svg,2024 Edition,42.0x48.0 in,"size 42 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D17-4,ADVANCE PASSING LANE,Guide Signs,ADVANCE_PASSING_LANE_D17-4.svg,2024 Edition,42.0x42.0 in,"size 42 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D17-5,ADVANCE EMERGENCY TURN-OUT,Guide Signs,ADVANCE_EMERGENCY_TURN_OUT_D17-5.svg,2024 Edition,60.0x36.0 in,"size 60 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D17-6L,EMERGENCY TURN-OUT (DIRECTIONAL),Guide Signs,EMERGENCY_TURN_OUT_DIRECTIONAL_D17-6L.svg,2024 Edition,60.0x36.1 in,"size 60 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D17-6R,EMERGENCY TURN-OUT (DIRECTIONAL),Guide Signs,EMERGENCY_TURN_OUT_DIRECTIONAL_D17-6R.svg,2024 Edition,60.0x36.0 in,"size 60 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D17-7,SLOW VEHICLE TURN-OUT X MILES,Guide Signs,SLOW_VEHICLE_TURN_OUT_X_MILES_D17-7.svg,2012 Supplement,72.0x42.0 in,"size 72 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D2-1,DISTANCE (1 LINE),Guide Signs,DISTANCE_1_LINE_D2-1.svg,2024 Edition,43.2x14.5 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D2-1a,BIKE ROUTE DESTINATION AND DISTANCE (1 LINE),Guide Signs,BIKE_ROUTE_DESTINATION_AND_DISTANCE_1_LINE_D2-1a.svg,2024 Edition,43.3x24.7 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D2-2,DISTANCE (2 LINES),Guide Signs,DISTANCE_2_LINES_D2-2.svg,2024 Edition,43.2x21.6 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D2-2a,BIKE ROUTE DESTINATION AND DISTANCE (2 LINES),Guide Signs,BIKE_ROUTE_DESTINATION_AND_DISTANCE_2_LINES_D2-2a.svg,2024 Edition,43.2x27.1 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D2-3,DISTANCE (3 LINES),Guide Signs,DISTANCE_3_LINES_D2-3.svg,2024 Edition,43.2x31.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D2-3a,BIKE ROUTE DESTINATION AND DISTANCE (3 LINES),Guide Signs,BIKE_ROUTE_DESTINATION_AND_DISTANCE_3_LINES_D2-3a.svg,2024 Edition,43.2x32.5 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
