code,name,source
C65b,Présignalisation d'une aire de service ou de repos sur route à chaussées séparées,Wikipedia
C65c,Indication d'une zone à péage en flux libre,Wikipedia (page title)
C8,Emplacement d'arrêt d'urgence,"IISR 5e partie, article 70-5 heading"
C9,"Station pour les véhicules bénéficiant du label ""autopartage","IISR 5e partie, article 70-6 heading"
CE1,Poste de secours,"IISR 5e partie, article 78 heading"
CE10,Embarcadère,Wikipedia
CE100,Poste de distribution de carburant et de recharge des véhicules,"IISR 5e partie, article 78-12 heading"
CE12,Toilettes,Wikipedia
CE14,Installations accessibles aux personnes handicapées ou à mobilité,"IISR 5e partie, article 78-11 heading"
CE15,DSR/BSC – DGITM/DIT/MARRN,IISR 5e partie
CE15a,Poste de distribution de carburant,Wikipedia
CE15b,Enseignes commerciales,"IISR 5e partie, article 78-30 heading"
CE15c,Carburant et GPL,Wikipedia
CE15e,Marque du poste de distribution de carburant,Wikipedia
CE15f,Marque du poste de distribution de carburant et GPL,Wikipedia
CE15g,Carburant et recharge des véhicules électriques,Wikipedia
CE15h,Carburant et GPL et recharge des véhicules électriques,Wikipedia
CE15i,Recharge de véhicules électriques,Wikipedia
CE15j,Recharge de véhicules électriques et GPL,Wikipedia
CE16,Restaurant ouvert 7 jours sur 7,Wikipedia
CE17,Hôtel ou motel ouvert 7 jours sur 7,Wikipedia
CE18,Débit de boissons ou établissement proposant des collations sommaires ouvert 7 jours sur 7,Wikipedia
CE19,Emplacement de mise à l'eau d'embarcations légères,Wikipedia
CE20a,Gare de téléphérique,Wikipedia
CE20b,Point de départ d'un télésiège ou d'une télécabine,Wikipedia
CE21,Point de vue,Wikipedia
CE22,Informations routières,Wikipedia
CE23,Jeux d'enfants,Wikipedia
CE24,Station de vidange,Wikipedia
CE25,Banque,Wikipedia
CE26,Station de gonflage,Wikipedia
CE27,Point de détente,Wikipedia
CE28,Poste de dépannage,Wikipedia
CE29,Lutte contre l'incendie,Wikipedia
CE2a,Poste d'appel d'urgence,Wikipedia
CE2b,Cabine téléphonique publique,Wikipedia
CE30,Emplacement d'arrêt d'urgence,"IISR 5e partie, article 70-5 heading"
CE30a,Issue de secours vers la droite,Wikipedia
CE30b,Issue de secours vers la gauche,Wikipedia
CE3a,Lieux d'information relatifs aux services et au tourisme,Wikipedia
CE3b,Relais d'information service,Wikipedia
CE4a,Terrain de camping pour tentes,Wikipedia
CE4b,Terrain de camping pour caravanes et autocaravanes,Wikipedia
CE4c,"Terrain de camping pour tentes, caravanes et autocaravanes",Wikipedia
CE50,Divers,Wikipedia
