category,id,rule,code,motsam,title,updated,heading,dimensions,colours,files,local
Motorist service,710,A21-2,MA2R,MS-1.2,"Advance, services adjacent to road, two services on right",8 December 2016,,a 950 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area and Public Toilet) 'm' Transport D Med x=75 Legend and Numeral 120D,Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA2R-2-Services-XX-m-on-Right.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA2R-2-Services-XX-m-on-Right-nolabels.gif,Original EPS/Motorist service/MA2R-2-Services-XX-m-on-Right.eps | Original EPS/Motorist service/MA2R-2-Services-XX-m-on-Right-nolabels.gif
Motorist service,721,A21-4,MB4L,MS-2.4,"Advance, services on side road, four services on left",8 December 2016,,"a 1750 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area, Public Toilet, Waste Disposal and Public Parking) 'm' Transport D Med x=75 Legend and Numeral 120D",Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB4L-4-Services-Turn-Left-XX-m.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB4L-4-Services-Turn-Left-XX-m-nolabels.gif,Original EPS/Motorist service/MB4L-4-Services-Turn-Left-XX-m.eps | Original EPS/Motorist service/MB4L-4-Services-Turn-Left-XX-m-nolabels.gif
Motorist service,722,A21-4,MB4R,MS-2.4,"Advance, services on side road, four services on right",8 December 2016,,"a 1750 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area, Public Toilet, Waste Disposal and Public Parking) 'm' Transport D Med x=75 Legend and Numeral 120D",Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB4R-4-Services-Turn-Right-XX-m.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB4R-4-Services-Turn-Right-XX-m-nolabels.gif,Original EPS/Motorist service/MB4R-4-Services-Turn-Right-XX-m.eps | Original EPS/Motorist service/MB4R-4-Services-Turn-Right-XX-m-nolabels.gif
Motorist service,715,A21-3,MB1L,MS-2.1,"Advance, services on side road, one service on left",8 December 2016,,a 640 b 1000 r 50 c 25 d 60 e 75 Symbols 300x300 (Rest Area) 'm' Transport D Med x=75 Legend and Numeral 120D,Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB1L-Service-Turn-Left-XX-m.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB1L-Service-Turn-Left-XX-m-nolabels.gif,Original EPS/Motorist service/MB1L-Service-Turn-Left-XX-m.eps | Original EPS/Motorist service/MB1L-Service-Turn-Left-XX-m-nolabels.gif
Motorist service,716,A21-3,MB1R,MS-2.1,"Advance, services on side road, one service on right",8 December 2016,,a 640 b 1000 r 50 c 25 d 60 e 75 Symbols 300x300 (Rest Area) 'm' Transport D Med x=75 Legend and Numeral 120D,Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB1R-Service-Turn-Right-XX-m.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB1R-Service-Turn-Right-XX-m-nolabels.gif,Original EPS/Motorist service/MB1R-Service-Turn-Right-XX-m.eps | Original EPS/Motorist service/MB1R-Service-Turn-Right-XX-m-nolabels.gif
Motorist service,719,A21-4,MB3L,MS-2.3,"Advance, services on side road, three services on left",8 December 2016,,"a 1370 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area, Public Toilet and Waste Disposal) 'm' Transport D Med x=75 Legend and Numeral 120D",Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB3L-3-Services-Turn-Left-XX-m.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB3L-3-Services-Turn-Left-XX-m-nolabels.gif,Original EPS/Motorist service/MB3L-3-Services-Turn-Left-XX-m.eps | Original EPS/Motorist service/MB3L-3-Services-Turn-Left-XX-m-nolabels.gif
Motorist service,720,A21-4,MB3R,MS-2.3,"Advance, services on side road, three services on right",8 December 2016,,"a 1370 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area, Public Toilet and Waste Disposal) 'm' Transport D Med x=75 Legend and Numeral 120D",Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB3R-3-Services-Turn-Right-XX-m.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB3R-3-Services-Turn-Right-XX-m-nolabels.gif,Original EPS/Motorist service/MB3R-3-Services-Turn-Right-XX-m.eps | Original EPS/Motorist service/MB3R-3-Services-Turn-Right-XX-m-nolabels.gif
Motorist service,717,A21-4,MB2L,MS-2.2,"Advance, services on side road, two services on left",8 December 2016,,a 1100 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area and Public Toilet) 'm' Transport D Med x=75 Legend and Numeral 120D,Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB2L-2-Services-Turn-Left-XX-m.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB2L-2-Services-Turn-Left-XX-m-nolabels.gif,Original EPS/Motorist service/MB2L-2-Services-Turn-Left-XX-m.eps | Original EPS/Motorist service/MB2L-2-Services-Turn-Left-XX-m-nolabels.gif
Motorist service,718,A21-4,MB2R,MS-2.2,"Advance, services on side road, two services on right",8 December 2016,,a 1100 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area and Public Toilet) 'm' Transport D Med x=75 Legend and Numeral 120D,Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB2R-2-Services-Turn-Right-XX-m.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MB2R-2-Services-Turn-Right-XX-m-nolabels.gif,Original EPS/Motorist service/MB2R-2-Services-Turn-Right-XX-m.eps | Original EPS/Motorist service/MB2R-2-Services-Turn-Right-XX-m-nolabels.gif
Motorist service,741,,,,"Airport route, marker, standard",5 June 2015,,,,,
