code,name,family,file,size,notes,source
MR-GC-10,MR-GC-10(R) - Horizontal arrow (use with R8-1B),Guide Signs,MR_GC_10_R_HORIZONTAL_ARROW_USE_WITH_R8_1B_MR-GC-10.svg,450x150 mm,"size from the register (450x150 mm); no scale on the sheet; no colour note on the sheet: MR-GC series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-10r.dwg
MR-GC-11,MR-GC-11 - Horizontal arrow bi-directional (use with R8-1B),Guide Signs,MR_GC_11_HORIZONTAL_ARROW_BI_DIRECTIONAL_USE_WITH_R8_1B_MR-GC-11.svg,450x150 mm,"size from the register (450x150 mm); no scale on the sheet; no colour note on the sheet: MR-GC series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-11.dwg
MR-GC-12,MR-GC-12 - Vertical arrow (use with R8-1B),Guide Signs,MR_GC_12_VERTICAL_ARROW_USE_WITH_R8_1B_MR-GC-12.svg,450x225 mm,"size from the register (450x225 mm); no scale on the sheet; no colour note on the sheet: MR-GC series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-12.dwg
MR-GC-13,MR-GC-13 - 30 degree arrow (use with R8-1B),Guide Signs,MR_GC_13_30_DEGREE_ARROW_USE_WITH_R8_1B_MR-GC-13.svg,450x225 mm,"size from the register (450x225 mm); no scale on the sheet; no colour note on the sheet: MR-GC series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-13.dwg
MR-GFB-4,MR-GFB-4 - ​Two line finger board,intervene/Guide Signs,MR_GFB_4_TWO_LINE_FINGER_BOARD_MR-GFB-4.svg,1321x380 mm,"size from the sheet scale 1:10; 14 closed letter outline(s) filled solid; colours from the sheet's note: legend WHITE, background GREEN; legend is CAD text on the sheet (FOR STREET NAME SIGNS AND TAGS, SAME FOR LENGTHS UP TO W (MAX), MEDIUM, Cd…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Finger Board Series MR-GFB/mr-gfb-4.dwg
MR-GFB-1,MR-GFB-1 - Finger Board Signs,Guide Signs,MR_GFB_1_FINGER_BOARD_SIGNS_MR-GFB-1.svg,1800x200 mm,"size from the register (1800x210 mm); no scale on the sheet; no colour note on the sheet: MR-GF series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Finger Board Series MR-GFB/mr-gfb-1.dwg
MR-GFB-2,MR-GFB-2 - Finger Board Signs,Guide Signs,MR_GFB_2_FINGER_BOARD_SIGNS_MR-GFB-2.svg,3400x286 mm,"size from the register (3400x210 mm); no scale on the sheet; register size 3400x210 mm differs from the drawing (3400 x 286 mm) — check; no colour note on the sheet: MR-GF series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Finger Board Series MR-GFB/mr-gfb-2.dwg
MR-GE-25,MR-GE-25 - Prohibited on freeway,intervene/Guide Signs,MR_GE_25_PROHIBITED_ON_FREEWAY_MR-GE-25.svg,1200x1673 mm,"size from the sheet scale 1:10; 1 closed letter outline(s) filled solid; register size 1200x1440 mm differs from the drawing (1200 x 1673 mm) — check; colours from the sheet's note: legend WHITE, background GREEN, border WHITE; legend is CAD text on the sheet ('MOPEDS' ADDED TO SIGN, RETROR, CLASS SPECIFIED, NOTE 1 AMENDE, BLOCK UPDATED., NOTES 1&2, 8 ADDED, SIGN COLOU…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-25.dwg
MR-GE-25,MR-GE-25 - Prohibited on freeway,intervene/Guide Signs,MR_GE_25_PROHIBITED_ON_FREEWAY_VAR2_MR-GE-25.svg,302x550 mm,"size from the sheet scale 1:10; 1 closed letter outline(s) filled solid; register size 1200x1440 mm differs from the drawing (302 x 550 mm) — check; colours from the sheet's note: legend WHITE, background GREEN, border WHITE; legend is CAD text on the sheet ('MOPEDS' ADDED TO SIGN, RETROR, CLASS SPECIFIED, NOTE 1 AMENDE, BLOCK UPDATED., NOTES 1&2, 8 ADDED, SIGN COLOU…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-25.dwg
MR-GE-25,MR-GE-25 - Prohibited on freeway,intervene/Guide Signs,MR_GE_25_PROHIBITED_ON_FREEWAY_VAR3_MR-GE-25.svg,299x561 mm,"size from the sheet scale 1:10; 1 closed letter outline(s) filled solid; register size 1200x1440 mm differs from the drawing (299 x 561 mm) — check; colours from the sheet's note: legend WHITE, background GREEN, border WHITE; legend is CAD text on the sheet ('MOPEDS' ADDED TO SIGN, RETROR, CLASS SPECIFIED, NOTE 1 AMENDE, BLOCK UPDATED., NOTES 1&2, 8 ADDED, SIGN COLOU…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-25.dwg
MR-GE-25,MR-GE-25 - Prohibited on freeway,intervene/Guide Signs,MR_GE_25_PROHIBITED_ON_FREEWAY_VAR4_MR-GE-25.svg,299x561 mm,"size from the sheet scale 1:10; 1 closed letter outline(s) filled solid; register size 1200x1440 mm differs from the drawing (299 x 561 mm) — check; colours from the sheet's note: legend WHITE, background GREEN, border WHITE; legend is CAD text on the sheet ('MOPEDS' ADDED TO SIGN, RETROR, CLASS SPECIFIED, NOTE 1 AMENDE, BLOCK UPDATED., NOTES 1&2, 8 ADDED, SIGN COLOU…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-25.dwg
MR-GE-25,MR-GE-25 - Prohibited on freeway,intervene/Guide Signs,MR_GE_25_PROHIBITED_ON_FREEWAY_VAR5_MR-GE-25.svg,581x1383 mm,"size from the sheet scale 1:10; 1 closed letter outline(s) filled solid; register size 1200x1440 mm differs from the drawing (581 x 1383 mm) — check; colours from the sheet's note: legend WHITE, background GREEN, border WHITE; legend is CAD text on the sheet ('MOPEDS' ADDED TO SIGN, RETROR, CLASS SPECIFIED, NOTE 1 AMENDE, BLOCK UPDATED., NOTES 1&2, 8 ADDED, SIGN COLOU…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-25.dwg
MR-GE-27,MR-GE-27 - Exit sign for loop ramps,Guide Signs,,,no drawing found after removing the sheet furniture,Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-27.dwg
MR-GE-28,MR-GE-28 - Diagrammatic multiple direction driving instruction sign,intervene/Guide Signs,MR_GE_28_DIAGRAMMATIC_MULTIPLE_DIRECTION_DRIVING_INSTRUCTION_SIGN_MR-GE-28.svg,4900x3200 mm,"size from the sheet scale 1:30; 1 closed letter outline(s) filled solid; 1 closed letter outline(s) filled solid; 1 closed letter outline(s) filled solid; 1 closed letter outline(s) filled solid; 1 closed letter outline(s) filled solid; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (s, n, r, u…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-28.dwg
MR-GE-29,MR-GE-29 - Roundabout lane allocation diagrammatic direction sign,intervene/Guide Signs,MR_GE_29_ROUNDABOUT_LANE_ALLOCATION_DIAGRAMMATIC_DIRECTION_SIGN_MR-GE-29.svg,4400x2700 mm,"size from the sheet scale 1:25; 3 closed letter outline(s) filled solid; 1 closed letter outline(s) filled solid; 1 closed letter outline(s) filled solid; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (E, L, A, Y…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-29.dwg
MR-GE-31,MR-GE-31 - Overhead advance exit sign for exclusive left turn lanes - with destination,intervene/Guide Signs,MR_GE_31_OVERHEAD_ADVANCE_EXIT_SIGN_FOR_EXCLUSIVE_LEFT_TURN_LANES_WITH_DESTINATI_MR-GE-31.svg,1579x1227 mm,"no scale on the sheet and no register size; drawn at 1:10 — check; 2 closed letter outline(s) filled solid; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (1 km, HODGES DR, Joondalup, EXIT ONLY): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-31.dwg
MR-GE-30,MR-GE-30 - Overhead advance exit sign for exclusive left turn lanes - no destination,intervene/Guide Signs,MR_GE_30_OVERHEAD_ADVANCE_EXIT_SIGN_FOR_EXCLUSIVE_LEFT_TURN_LANES_NO_DESTINATION_MR-GE-30.svg,1374x1137 mm,"no scale on the sheet and no register size; drawn at 1:10 — check; 1 closed letter outline(s) filled solid; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (1 km, Hutton St, EXIT, ONLY): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-30.dwg
MR-GE-32,MR-GE-32 - Prohibited on highway,intervene/Guide Signs,MR_GE_32_PROHIBITED_ON_HIGHWAY_MR-GE-32.svg,1200x1618 mm,"size from the sheet scale 1:10; 1 closed letter outline(s) filled solid; register size 1200x1440 mm differs from the drawing (1200 x 1618 mm) — check; colours from the sheet's note: legend WHITE, background GREEN, border WHITE; legend is CAD text on the sheet (RETROREFLECTIVE CLASS, TEXT ST, PROHIBITED, ON, PEDESTRIANS…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-32.dwg
MR-GE-32,MR-GE-32 - Prohibited on highway,intervene/Guide Signs,MR_GE_32_PROHIBITED_ON_HIGHWAY_VAR2_MR-GE-32.svg,302x550 mm,"size from the sheet scale 1:10; 1 closed letter outline(s) filled solid; register size 1200x1440 mm differs from the drawing (302 x 550 mm) — check; colours from the sheet's note: legend WHITE, background GREEN, border WHITE; legend is CAD text on the sheet (RETROREFLECTIVE CLASS, TEXT ST, PROHIBITED, ON, PEDESTRIANS…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-32.dwg
MR-GE-32,MR-GE-32 - Prohibited on highway,intervene/Guide Signs,MR_GE_32_PROHIBITED_ON_HIGHWAY_VAR3_MR-GE-32.svg,298x561 mm,"size from the sheet scale 1:10; 1 closed letter outline(s) filled solid; register size 1200x1440 mm differs from the drawing (298 x 561 mm) — check; colours from the sheet's note: legend WHITE, background GREEN, border WHITE; legend is CAD text on the sheet (RETROREFLECTIVE CLASS, TEXT ST, PROHIBITED, ON, PEDESTRIANS…): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-32.dwg
MR-GE-35,MR-GE-35 - Overhead Advance Exit Sign for Exclusive Left Turn Lanes - No Destination,Guide Signs,MR_GE_35_OVERHEAD_ADVANCE_EXIT_SIGN_FOR_EXCLUSIVE_LEFT_TURN_LANES_NO_DESTINATION_MR-GE-35.svg,1300x467 mm,"no scale on the sheet and no register size; drawn at 1:10 — check; 10 closed letter outline(s) filled solid; no colour note on the sheet: MR-GE series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Freeway Series MR-GE/mr-ge-35.dwg
