code,name,family,file,size,source,notes
DA31D,sortie ou bifurcation routière ou autoroutière,D Direction,D Direction/SORTIE_OU_BIFURCATION_ROUTIERE_OU_AUTOROUTIERE_DA31D.svg,717x523 mm,Panneaux_D/Signaux_Da/DA31D.svg,drawn 143.3x104.7 mm at 1:5; name from Wikipedia
DA31E,sortie ou bifurcation routière ou autoroutière,D Direction,D Direction/SORTIE_OU_BIFURCATION_ROUTIERE_OU_AUTOROUTIERE_DA31E.svg,666x539 mm,Panneaux_D/Signaux_Da/DA31E.svg,drawn 133.3x107.9 mm at 1:5; name from Wikipedia
DA31F,sortie ou bifurcation routière ou autoroutière,D Direction,D Direction/SORTIE_OU_BIFURCATION_ROUTIERE_OU_AUTOROUTIERE_DA31F.svg,498x714 mm,Panneaux_D/Signaux_Da/DA31F.svg,drawn 99.7x142.8 mm at 1:5; name from Wikipedia
DA32A,Signalisation d'entrée d'aires de service ou de repos,D Direction,D Direction/SIGNALISATION_D_ENTREE_D_AIRES_DE_SERVICE_OU_DE_REPOS_DA32A.svg,495x360 mm,Panneaux_D/Signaux_Da/DA32A.svg,drawn 99.0x72.0 mm at 1:5; name from Wikipedia
DA32A_dc,Signalisation d'entrée d'aires de service ou de repos,D Direction,D Direction/SIGNALISATION_D_ENTREE_D_AIRES_DE_SERVICE_OU_DE_REPOS_DA32A_dc.svg,495x360 mm,Panneaux_D/Signaux_Da/DA32A_dc.svg,drawn 99.0x72.0 mm at 1:5; name from Wikipedia
DA32B,Signalisation d'entrée d'aires de service ou de repos,D Direction,D Direction/SIGNALISATION_D_ENTREE_D_AIRES_DE_SERVICE_OU_DE_REPOS_DA32B.svg,495x447 mm,Panneaux_D/Signaux_Da/DA32B.svg,drawn 99.0x89.4 mm at 1:5; name from Wikipedia
DA32B_dc,Signalisation d'entrée d'aires de service ou de repos,D Direction,D Direction/SIGNALISATION_D_ENTREE_D_AIRES_DE_SERVICE_OU_DE_REPOS_DA32B_dc.svg,495x447 mm,Panneaux_D/Signaux_Da/DA32B_dc.svg,drawn 99.0x89.4 mm at 1:5; name from Wikipedia
DA41A,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_DA41A.svg,758x442 mm,Panneaux_D/Signaux_Da/DA41A.svg,"drawn 151.5x88.4 mm at 1:5; name from IISR 5e partie, article 84-5 heading"
DA41B,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_DA41B.svg,724x541 mm,Panneaux_D/Signaux_Da/DA41B.svg,"drawn 144.9x108.2 mm at 1:5; name from IISR 5e partie, article 84-5 heading"
DA41C,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_DA41C.svg,391x366 mm,Panneaux_D/Signaux_Da/DA41C.svg,"drawn 78.1x73.2 mm at 1:5; name from IISR 5e partie, article 84-5 heading"
DA41D,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_DA41D.svg,717x1053 mm,Panneaux_D/Signaux_Da/DA41D.svg,"drawn 143.3x210.6 mm at 1:5; name from IISR 5e partie, article 84-5 heading"
DA41E,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_DA41E.svg,578x1190 mm,Panneaux_D/Signaux_Da/DA41E.svg,"drawn 115.7x238.0 mm at 1:5; 6 stroked path(s) outlined with Inkscape; name from IISR 5e partie, article 84-5 heading"
DA41F,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_DA41F.svg,720x437 mm,Panneaux_D/Signaux_Da/DA41F.svg,"drawn 144.0x87.5 mm at 1:5; name from IISR 5e partie, article 84-5 heading"
Da51b,Panneau de direction avec affectation de voies,D Direction,D Direction/PANNEAU_DE_DIRECTION_AVEC_AFFECTATION_DE_VOIES_Da51b.svg,512x357 mm,Panneaux_D/Signaux_Da/Da51b.svg,drawn 102.5x71.3 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Da51br,Panneau de direction avec affectation de voies,D Direction,D Direction/PANNEAU_DE_DIRECTION_AVEC_AFFECTATION_DE_VOIES_Da51br.svg,705x541 mm,Panneaux_D/Signaux_Da/Da51br.svg,drawn 141.0x108.2 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
DA52a,Panneau de direction avec affectation de voies,D Direction,D Direction/PANNEAU_DE_DIRECTION_AVEC_AFFECTATION_DE_VOIES_DA52a.svg,636x675 mm,Panneaux_D/Signaux_Da/DA52a.svg,drawn 127.3x134.9 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Da52b,Panneau de direction avec affectation de voies,D Direction,D Direction/PANNEAU_DE_DIRECTION_AVEC_AFFECTATION_DE_VOIES_Da52b.svg,572x640 mm,Panneaux_D/Signaux_Da/Da52b.svg,drawn 114.4x128.1 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dc29_ex1,Panneau d'information locale,D Direction,D Direction/PANNEAU_D_INFORMATION_LOCALE_Dc29_ex1.svg,341x668 mm,Panneaux_D/Signaux_Dc/Dc29_ex1.svg,drawn 68.2x133.7 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dc29_ex1_dc,Panneau d'information locale,D Direction,D Direction/PANNEAU_D_INFORMATION_LOCALE_Dc29_ex1_dc.svg,304x250 mm,Panneaux_D/Signaux_Dc/Dc29_ex1_dc.svg,drawn 60.7x50.1 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dc29_ex2,Panneau d'information locale,D Direction,D Direction/PANNEAU_D_INFORMATION_LOCALE_Dc29_ex2.svg,448x488 mm,Panneaux_D/Signaux_Dc/Dc29_ex2.svg,drawn 89.6x97.6 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dc29_ex2_dc,Panneau d'information locale,D Direction,intervene/D Direction/PANNEAU_D_INFORMATION_LOCALE_Dc29_ex2_dc.svg,443x488 mm,Panneaux_D/Signaux_Dc/Dc29_ex2_dc.svg,"live text in the L1/L4 road alphabet, font not available: 'piscine municipale'; drawn 88.7x97.6 mm at 1:5; 3 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
Dc43_ex1,Panneau d'information locale,D Direction,D Direction/PANNEAU_D_INFORMATION_LOCALE_Dc43_ex1.svg,461x484 mm,Panneaux_D/Signaux_Dc/Dc43_ex1.svg,drawn 92.2x96.7 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dc43_ex1_dc,Panneau d'information locale,D Direction,D Direction/PANNEAU_D_INFORMATION_LOCALE_Dc43_ex1_dc.svg,360x158 mm,Panneaux_D/Signaux_Dc/Dc43_ex1_dc.svg,drawn 72.0x31.5 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dc43_ex2,Panneau d'information locale,D Direction,D Direction/PANNEAU_D_INFORMATION_LOCALE_Dc43_ex2.svg,372x677 mm,Panneaux_D/Signaux_Dc/Dc43_ex2.svg,drawn 74.4x135.5 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dc43_ex2_dc,Panneau d'information locale,D Direction,intervene/D Direction/PANNEAU_D_INFORMATION_LOCALE_Dc43_ex2_dc.svg,452x250 mm,Panneaux_D/Signaux_Dc/Dc43_ex2_dc.svg,"live text in the L1/L4 road alphabet, font not available: 'toilettes publiques'; drawn 90.4x50.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
Dp1a,Panneau de signalisation pietonne,D Direction,intervene/D Direction/PANNEAU_DE_SIGNALISATION_PIETONNE_Dp1a.svg,603x126 mm,Panneaux_D/Signaux_Dp/Dp1a.svg,"live text in the L1/L4 road alphabet, font not available: 'S.O.S.'; drawn 120.6x25.2 mm at 1:5; 8 stroked path(s) outlined with Inkscape; drawing annotation text dropped (AvantGarde Bk BT): '600 x 120 mm, Hc 50mm'; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
Dp1b,Panneau de signalisation pietonne,D Direction,intervene/D Direction/PANNEAU_DE_SIGNALISATION_PIETONNE_Dp1b.svg,603x126 mm,Panneaux_D/Signaux_Dp/Dp1b.svg,"live text in the L1/L4 road alphabet, font not available: 'S.O.S.'; drawn 120.5x25.2 mm at 1:5; 8 stroked path(s) outlined with Inkscape; drawing annotation text dropped (AvantGarde Bk BT): '600 x 120 mm, Hc 50mm'; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
Dp2a,Issue de secours,D Direction,D Direction/ISSUE_DE_SECOURS_Dp2a.svg,702x202 mm,Panneaux_D/Signaux_Dp/Dp2a.svg,"drawn 140.4x40.4 mm at 1:5; 1 stroked path(s) outlined with Inkscape; drawing annotation text dropped (AvantGarde Bk BT): '700 x 200 mm, Hc 50mm'; name from IISR 5e partie, article 78-27 heading"
Dp2b,Issue de secours,D Direction,D Direction/ISSUE_DE_SECOURS_Dp2b.svg,703x202 mm,Panneaux_D/Signaux_Dp/Dp2b.svg,"drawn 140.7x40.5 mm at 1:5; 1 stroked path(s) outlined with Inkscape; drawing annotation text dropped (AvantGarde Bk BT): '700 x 200 mm, Hc 50mm'; name from IISR 5e partie, article 78-27 heading"
