code,name,family,file,size,notes,source
W2-10(L),Side Road Intersection on a Curve - Inside (Left Symbolic),Warning Signs,SIDE_ROAD_INTERSECTION_ON_A_CURVE_INSIDE_LEFT_SYMBOLIC_W2-10(L).svg,864x828 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-10_l.pdf
W2-10(L),Side Road Intersection on a Curve - Inside (Left Symbolic),Warning Signs,SIDE_ROAD_INTERSECTION_ON_A_CURVE_INSIDE_LEFT_SYMBOLIC_VAR2_W2-10(L).svg,517x517 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-10_l.pdf
W2-1,Cross Road (symbolic),Warning Signs,CROSS_ROAD_SYMBOLIC_W2-1.svg,865x828 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-1.pdf
W2-1,Cross Road (symbolic),Warning Signs,CROSS_ROAD_SYMBOLIC_VAR2_W2-1.svg,517x517 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-1.pdf
W2-1,Cross Road (symbolic),Warning Signs,CROSS_ROAD_SYMBOLIC_VAR3_W2-1.svg,414x414 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-1.pdf
W2-12(L),Successive Side Road Intersections on a Curve (Left Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_LEFT_SYMBOLIC_W2-12(L).svg,864x828 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-12_l.pdf
W2-12(L),Successive Side Road Intersections on a Curve (Left Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_LEFT_SYMBOLIC_VAR2_W2-12(L).svg,517x517 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-12_l.pdf
W2-12(R),Successive Side Road Intersections on a Curve (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_RIGHT_SYMBOLIC_W2-12(R).svg,945x879 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-12_r.pdf
W2-12(R),Successive Side Road Intersections on a Curve (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_RIGHT_SYMBOLIC_VAR2_W2-12(R).svg,779x721 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-12_r.pdf
W2-12(R),Successive Side Road Intersections on a Curve (Right Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_RIGHT_SYMBOLIC_VAR3_W2-12(R).svg,649x706 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-12_r.pdf
